Simulated_Time,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
0.00100,26.589,107.298,11.136,10.516,25.823,13.093,11.044,11.584
0.04990,1086.755,1012.659,893.491,720.278,1336.838,827.326,884.189,767.438
0.10000,3278.699,3172.927,2727.831,2210.99,4421.41,2579.164,2591.319,2418.623
0.15000,6009.215,5642.895,5040.741,4104.115,8127.04,4801.075,4612.891,4529.199
0.20000,9108.043,8500.359,7668.117,6264.785,12200.095,7303.027,6723.083,6919.438
0.25000,12758.701,11692.874,10632.391,8725.332,16536.796,10120.999,9045.215,9585.262
0.30000,18639.063,16055.485,15267.118,12673.19,22606.887,14593.571,12778.965,13770.917
0.35000,23707.96,20459.866,19379.639,16154.864,27889.785,18491.231,16030.437,17455.242
0.40000,28436.371,24168.309,23010.251,19276.795,32335.092,21920.074,18999.757,20813.66
0.45000,32067.532,27526.406,26106.569,21938.206,36155.43,24882.124,21557.778,23723.25
0.50000,35566.418,30490.094,29213.3,24582.42,40133.951,27861.479,24050.331,26621.087
