Mesh_Sizes,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
19684,0.2191386111,0.1838122222,0.5173036111,0.3657861111
98304,2.9236380556,2.2369416667,2.2216111111,2.5837777778
169708,6.3406905556,4.5153691667,4.0665261111,4.6035286111
