Mesh_Sizes,CgDiagCPU,CgLusgsCPU,CgDiagGPU,GmresDiagGPU
19684,0.03,0.02,0.13,0.11
98304,0.54,0.29,0.25,0.55
169708,1.44,0.74,0.41,0.97
