Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
1,26.59,107.30,11.14,10.52,25.82,13.09,11.04,11.58
2,72.20,185.55,45.69,44.44,67.52,47.87,46.47,45.34
3,83.59,217.43,52.56,50.22,79.07,54.44,53.98,51.35
4,94.68,239.98,59.43,55.91,90.65,60.97,61.70,57.36
5,104.16,249.08,66.30,61.36,100.80,66.89,69.63,63.21
6,113.18,255.98,73.26,66.79,111.40,72.81,77.19,69.03
7,122.12,262.68,80.13,72.23,121.08,78.74,84.87,74.66
8,131.08,269.43,86.98,77.60,130.31,84.66,92.85,80.20
9,139.78,276.18,93.80,82.88,139.25,90.59,100.74,85.68
10,148.43,282.88,100.75,88.11,148.00,96.51,108.27,91.14
11,157.29,289.59,107.57,93.30,156.76,102.44,115.79,96.64
12,166.01,296.44,114.40,98.47,165.62,108.36,120.52,102.11
13,174.85,303.17,121.31,103.63,174.38,114.29,128.01,107.60
14,183.66,309.88,128.22,108.79,183.19,120.22,135.63,113.09
15,192.54,316.58,135.05,113.94,192.05,126.15,143.14,118.58
16,201.24,323.51,141.88,119.10,200.83,132.08,150.76,124.15
17,209.92,330.37,148.80,124.23,209.65,138.02,158.73,129.64
18,218.59,337.09,155.65,129.38,218.42,143.95,166.23,135.23
19,227.41,343.83,162.53,134.51,227.19,149.89,173.71,141.20
20,236.07,350.58,169.44,139.66,236.08,155.86,181.25,147.09
21,243.23,357.30,176.45,144.88,244.85,161.80,188.87,152.57
22,250.56,364.02,183.34,150.07,253.62,167.74,196.37,158.04
23,257.79,370.77,190.23,155.23,262.39,173.69,203.86,163.51
24,266.70,377.49,197.12,160.41,271.17,179.67,211.49,168.94
25,275.78,384.21,204.02,165.60,279.48,185.62,219.00,174.39
26,284.81,390.94,210.91,170.89,288.27,191.56,226.51,179.89
27,293.82,397.74,217.81,176.10,297.05,197.51,234.01,185.42
28,301.17,404.47,224.78,181.32,305.83,203.53,241.60,190.81
29,308.34,411.21,231.67,186.55,314.70,209.48,249.13,196.23
30,315.47,417.94,238.56,191.77,323.48,215.43,256.80,201.75
31,322.45,424.76,245.54,197.06,331.80,221.39,264.78,207.14
32,331.05,431.50,252.44,202.29,340.25,227.34,272.77,212.57
33,339.91,438.23,259.34,207.66,349.03,233.30,280.70,218.07
34,349.96,444.86,266.24,213.40,360.23,239.86,288.33,224.10
35,357.10,452.13,273.14,218.91,370.87,245.82,295.94,229.86
36,364.07,457.04,279.51,224.23,379.66,251.81,300.73,235.36
37,372.95,461.95,285.96,229.43,387.53,257.79,305.61,240.71
38,379.95,466.85,292.86,234.89,396.79,263.75,313.31,246.41
39,387.34,472.26,299.81,240.66,408.44,270.32,320.91,252.48
40,394.31,477.37,310.06,246.19,419.10,276.29,328.51,258.32
41,403.46,482.47,316.65,251.55,430.21,282.86,333.39,264.29
42,411.19,487.38,323.21,256.97,441.33,289.43,340.97,270.15
43,419.70,492.50,330.12,262.43,452.45,296.01,348.57,276.17
44,427.91,497.69,337.03,267.96,463.56,302.61,356.14,282.02
45,435.99,502.81,343.95,273.81,475.15,309.79,363.76,288.06
46,443.18,507.93,350.90,279.67,486.76,316.98,371.39,293.93
47,450.49,513.25,357.82,285.58,500.21,324.16,379.02,300.69
48,458.24,518.16,364.37,290.94,509.94,330.13,383.94,306.15
49,465.22,523.14,370.53,296.00,517.81,335.50,388.71,311.51
50,472.37,528.25,377.00,301.22,526.61,341.47,393.50,316.93
51,479.48,533.38,383.50,306.53,535.47,347.44,398.28,322.53
52,486.63,538.70,390.42,312.22,547.06,354.16,406.14,328.56
53,494.04,543.85,397.40,317.69,555.87,360.20,411.28,334.07
54,501.47,549.05,404.06,323.21,566.73,366.18,416.15,339.98
55,508.95,554.17,410.67,328.51,575.07,372.16,421.06,345.41
56,515.94,559.30,417.09,333.74,583.46,378.14,425.95,350.86
57,523.01,564.42,423.62,338.97,591.89,384.12,431.08,356.33
58,529.97,569.62,430.14,344.23,600.23,390.10,435.97,361.79
59,536.94,574.86,436.96,349.80,611.82,396.68,444.05,367.87
60,544.07,580.18,443.87,355.46,623.41,403.34,451.94,373.94
61,551.06,585.50,450.68,360.87,633.17,409.47,457.09,379.45
62,557.95,590.63,456.81,366.08,641.51,415.45,462.18,384.97
63,564.99,595.88,463.10,371.28,649.85,421.43,467.07,390.36
64,572.07,601.01,469.86,376.82,661.54,428.10,474.89,396.43
65,580.10,606.54,476.78,382.49,673.13,434.70,482.69,402.50
66,587.79,611.66,483.52,387.95,683.37,440.68,487.47,408.39
67,595.02,616.79,489.65,392.84,691.44,446.05,492.25,414.12
68,602.31,622.00,496.11,398.05,699.31,452.04,497.02,419.53
69,609.36,627.33,502.63,403.28,708.15,458.02,501.80,425.13
70,616.29,632.66,509.43,408.82,719.75,464.61,509.44,431.20
71,623.31,637.99,516.27,414.28,728.56,470.59,514.22,436.71
72,630.55,643.53,523.29,420.00,740.69,477.22,521.81,442.86
73,637.99,648.93,530.16,425.44,751.82,483.24,526.59,448.80
74,645.16,654.66,537.08,431.11,763.48,489.83,534.21,454.85
75,652.10,659.99,544.00,436.54,773.69,495.82,538.99,460.75
76,659.44,665.52,551.02,442.29,785.29,502.43,546.65,467.15
77,666.50,670.94,557.70,447.79,797.35,508.41,554.25,473.36
78,673.64,676.47,564.62,453.56,809.88,515.01,562.00,479.54
79,684.14,688.14,571.62,459.41,822.86,522.21,569.95,485.84
80,691.13,695.59,578.50,464.90,834.55,528.83,577.58,491.89
81,702.32,703.39,585.43,470.70,846.63,535.42,585.24,498.06
