Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
92,588.71,617.18,457.94,375.40,692.26,433.36,490.39,416.94
93,593.38,621.02,462.43,379.11,699.05,437.53,493.85,421.14
94,598.13,628.29,467.12,382.97,706.20,442.12,499.39,425.56
95,603.01,633.66,471.87,386.88,713.31,446.71,504.93,430.15
96,610.66,642.97,476.61,390.68,721.07,451.29,510.49,434.57
97,618.18,649.04,481.42,394.57,728.51,455.89,515.98,438.89
98,625.33,654.85,486.21,398.39,735.66,460.48,521.49,443.14
99,632.24,660.39,490.76,402.14,742.77,464.64,524.95,447.34
100,636.98,666.20,495.33,405.92,749.57,468.81,528.41,451.55
101,644.69,672.14,499.83,409.72,757.04,473.40,531.87,455.88
102,649.55,678.35,504.65,413.57,764.47,477.99,537.39,460.22
103,654.46,683.27,509.44,417.59,772.56,482.99,542.93,464.66
104,659.47,686.95,514.23,421.53,780.00,488.42,548.50,469.12
105,665.13,690.63,519.03,425.55,788.74,493.85,554.01,473.70
106,670.02,694.18,523.76,429.41,796.50,498.44,559.59,478.18
107,674.87,697.73,528.65,433.33,803.61,502.61,565.10,482.44
108,679.56,701.27,533.52,437.33,810.73,507.20,570.63,486.72
109,684.22,704.69,538.13,441.11,818.16,511.78,574.09,491.02
110,689.02,708.23,542.67,444.82,825.27,515.95,579.62,495.26
111,693.75,711.78,547.34,448.53,832.39,520.12,585.13,499.50
112,698.61,715.34,552.08,452.39,839.18,524.71,590.69,503.67
113,705.64,718.76,556.66,456.10,846.29,529.29,594.14,507.91
114,710.36,722.30,561.33,459.93,853.73,533.46,599.68,512.23
115,715.38,725.85,566.07,463.80,861.16,538.05,605.19,516.56
116,720.08,729.39,570.83,467.64,868.60,542.63,610.74,520.91
117,726.54,732.94,575.62,471.49,874.74,546.80,614.18,524.94
118,731.35,736.49,580.41,475.27,881.53,550.97,619.70,529.16
119,738.50,739.90,584.88,479.00,888.64,555.68,623.15,533.40
120,743.43,743.45,589.42,482.69,895.75,559.90,626.61,537.76
121,750.34,746.99,594.03,486.36,902.86,564.07,630.07,542.25
122,755.05,750.41,598.68,490.14,910.64,568.65,635.62,546.54
123,759.89,754.09,603.47,494.01,918.40,573.24,641.23,550.94
124,766.65,757.50,607.86,497.69,924.87,577.82,644.94,555.13
125,773.30,761.04,612.42,501.43,931.73,582.05,648.40,559.31
126,780.45,764.65,617.13,505.23,939.20,586.21,653.91,563.66
127,785.17,768.19,621.82,509.06,946.63,590.80,659.54,568.00
128,790.11,771.87,626.61,512.91,952.77,594.97,662.99,572.04
129,795.89,775.55,631.31,516.71,959.01,599.13,666.45,576.12
130,801.80,778.96,635.74,520.41,966.12,603.72,669.91,580.40
131,806.49,782.50,640.12,524.10,972.91,608.01,673.37,584.61
132,812.71,786.18,644.73,527.77,980.02,612.22,676.93,588.88
133,818.86,789.94,649.34,531.43,986.18,616.39,680.60,592.92
134,825.47,793.38,653.90,535.15,992.97,620.97,684.08,597.12
135,830.36,796.93,658.66,539.01,1001.37,625.56,689.63,601.67
136,837.05,800.47,663.30,542.79,1009.15,630.22,695.14,606.06
137,842.18,804.15,667.63,546.35,1014.97,634.46,698.59,610.02
138,848.20,807.83,672.21,550.04,1022.40,638.62,702.04,614.30
139,854.53,811.50,676.84,553.77,1029.84,642.79,707.64,618.63
140,860.51,815.49,681.72,557.79,1036.64,647.38,713.23,622.83
141,867.42,819.17,686.32,561.59,1044.08,651.96,718.98,627.16
142,873.94,822.58,690.76,565.28,1051.52,656.61,722.43,631.50
143,880.05,826.13,695.27,568.98,1058.45,660.78,725.89,635.70
144,885.94,829.80,699.77,572.64,1064.97,664.94,729.34,639.81
145,891.66,833.48,704.44,576.32,1071.11,669.10,732.79,643.89
146,897.21,837.16,709.12,580.00,1077.26,673.27,736.23,647.96
147,902.80,841.01,713.71,583.76,1083.09,677.43,739.68,651.97
148,908.00,844.69,718.02,587.27,1088.26,681.26,743.13,656.10
149,915.34,848.63,722.72,591.12,1096.35,685.84,748.66,660.65
