Mesh_Sizes,AmgFreeCPU,CgDiagGPU,GmresDiagGPU
19684,0.19429,0.5173036111,0.3657861111
98304,2.2740005556,2.2216111111,2.5837777778
169708,4.8386602778,4.0665261111,4.6035286111
