#CpuCgLusgs1101351
Simulated_Time(sec),CPU_Time(sec)
5.67E-04,53.184
1.11E-03,209.3
1.63E-03,236.725
2.13E-03,261.482
2.61E-03,286.452
3.07E-03,311.426
3.52E-03,336.346
3.96E-03,361.289
4.38E-03,386.17
4.79E-03,411.14
5.20E-03,436.041
5.59E-03,461.026
5.98E-03,485.957
6.35E-03,510.896
6.72E-03,535.87
7.09E-03,560.835
7.44E-03,585.817
7.79E-03,610.805
8.14E-03,635.798
8.48E-03,660.812
8.81E-03,685.825
9.14E-03,712.933
9.47E-03,740.884
9.79E-03,766.269
1.01E-02,796.568
1.04E-02,824.949
1.07E-02,851.717
1.10E-02,881.536
1.13E-02,910.979
1.16E-02,940.944
1.19E-02,970.657
1.22E-02,1000.311
1.24E-02,1029.266
1.27E-02,1058.995
1.30E-02,1087.374
1.33E-02,1117.296
1.35E-02,1146.196
1.38E-02,1176.184
1.40E-02,1206.184
1.43E-02,1236.108
1.46E-02,1266.622
1.48E-02,1296.879
1.51E-02,1327.913
1.53E-02,1358.355
1.56E-02,1389.581
1.58E-02,1420.023
1.61E-02,1451.315
1.63E-02,1481.82
1.66E-02,1513.233
1.68E-02,1543.768
1.70E-02,1575.133
1.73E-02,1605.345
1.75E-02,1636.648
1.78E-02,1666.855
1.80E-02,1698.163
1.82E-02,1728.501
1.85E-02,1759.808
1.87E-02,1790.142
1.89E-02,1821.445
1.91E-02,1851.793
1.94E-02,1883.026
1.96E-02,1913.372
1.98E-02,1944.212
2.00E-02,1973.961
2.02E-02,2002.924
2.05E-02,2034.21
2.07E-02,2065.693
2.09E-02,2096.403
2.11E-02,2126.461
2.13E-02,2154.963
2.15E-02,2185.976
2.17E-02,2216.932
2.19E-02,2247.749
2.21E-02,2277.345
2.23E-02,2306.342
2.26E-02,2337.373
2.28E-02,2367.416
2.30E-02,2396.378
2.32E-02,2427.389
2.34E-02,2457.588
2.36E-02,2487.656
2.37E-02,2518.194
2.39E-02,2548.482
2.41E-02,2578.791
2.43E-02,2609.558
2.45E-02,2640.29
2.47E-02,2670.131
2.49E-02,2701.231
2.51E-02,2731.377
2.53E-02,2759.038
2.55E-02,2789.632
2.57E-02,2819.359
2.59E-02,2849.238
2.61E-02,2879.793
2.62E-02,2910.169
2.64E-02,2940.722
2.66E-02,2970.897
2.68E-02,3001.492
2.70E-02,3031.976
2.72E-02,3062.029
2.73E-02,3093.195
2.75E-02,3124.766
2.77E-02,3155.178
2.79E-02,3187.11
2.81E-02,3219.709
2.82E-02,3252.236
2.84E-02,3284.947
2.86E-02,3315.003
2.88E-02,3345.184
2.89E-02,3375.353
2.91E-02,3405.458
2.93E-02,3436.139
2.95E-02,3465.589
2.96E-02,3496.511
2.98E-02,3525.384
3.00E-02,3555.793
3.01E-02,3584.455
3.03E-02,3614.522
3.05E-02,3643.952
3.07E-02,3674.027
3.08E-02,3703.378
3.10E-02,3733.182
3.12E-02,3763.114
3.13E-02,3792.984
3.15E-02,3823.18
3.17E-02,3853.435
3.18E-02,3884.332
3.20E-02,3914.458
3.22E-02,3944.393
3.23E-02,3975.358
3.25E-02,4004.053
3.27E-02,4033.256
3.28E-02,4062.662
3.30E-02,4093.229
3.31E-02,4121.811
3.33E-02,4151.924
3.35E-02,4178.726
3.36E-02,4207.54
3.38E-02,4237.511
3.39E-02,4268.337
3.41E-02,4299.477
3.43E-02,4328.354
3.44E-02,4356.19
3.46E-02,4384.875
3.47E-02,4414.07
3.49E-02,4444.564
3.50E-02,4474.537
3.52E-02,4504.693
3.53E-02,4531.3
3.55E-02,4559.398
3.56E-02,4588.011
3.58E-02,4616.757
3.60E-02,4647.498
3.61E-02,4677.466
3.63E-02,4706.205
3.64E-02,4733.402
3.66E-02,4761.749
3.67E-02,4790.105
3.69E-02,4818.711
3.70E-02,4849.576
3.72E-02,4878.828
3.73E-02,4905.496
3.75E-02,4931.897
3.76E-02,4961.084
3.78E-02,4990.265
3.79E-02,5018.148
3.81E-02,5049.01
3.82E-02,5079.548
3.84E-02,5108.796
3.85E-02,5136.618
3.87E-02,5162.303
3.88E-02,5190.438
3.89E-02,5218.711
3.91E-02,5248.986
3.92E-02,5279.205
3.94E-02,5309.798
3.95E-02,5338.096
3.97E-02,5365.19
3.98E-02,5393.267
4.00E-02,5422.173
4.01E-02,5449.61
4.03E-02,5479.487
4.04E-02,5510.607
4.05E-02,5540.747
4.07E-02,5568.18
4.08E-02,5598.896
4.10E-02,5629.489
4.11E-02,5658.592
4.12E-02,5688.735
4.14E-02,5719.775
4.15E-02,5752.244
4.17E-02,5784.702
4.18E-02,5817.419
4.19E-02,5847.421
4.21E-02,5876.451
4.22E-02,5903.469
4.24E-02,5933.872
4.25E-02,5962.195
4.26E-02,5992.657
4.28E-02,6022.529
4.29E-02,6050.778
4.30E-02,6079.025
4.32E-02,6107.271
4.33E-02,6135.52
4.35E-02,6165.78
4.36E-02,6196.361
4.37E-02,6225.78
4.39E-02,6255.126
4.40E-02,6284.084
4.41E-02,6312.072
4.43E-02,6339.666
4.44E-02,6367.254
4.45E-02,6392.907
4.47E-02,6423.549
4.48E-02,6454.248
4.50E-02,6483.327
4.51E-02,6509.945
4.52E-02,6539.616
4.54E-02,6566.291
4.55E-02,6593.428
4.56E-02,6618.621
4.58E-02,6648.68
4.59E-02,6678.532
4.60E-02,6708.645
4.61E-02,6738.489
4.63E-02,6766.789
4.64E-02,6793.337
4.65E-02,6819.108
4.67E-02,6849.665
4.68E-02,6877.501
4.69E-02,6907.537
4.71E-02,6937.456
4.72E-02,6967.624
4.73E-02,6998.114
4.75E-02,7026.536
4.76E-02,7052.815
4.77E-02,7077.93
4.78E-02,7103.611
4.80E-02,7131.179
4.81E-02,7162.307
4.82E-02,7193.632
4.84E-02,7224.431
4.85E-02,7254.338
4.86E-02,7283.068
4.87E-02,7310.639
4.89E-02,7336.45
4.90E-02,7365.368
4.91E-02,7394.665
4.92E-02,7423.249
4.94E-02,7453.198
4.95E-02,7483.611
4.96E-02,7515.309
4.98E-02,7547.65
4.99E-02,7580.045
5.00E-02,7611.227
5.01E-02,7643.17
5.03E-02,7673.175
5.04E-02,7703.041
5.05E-02,7732.408
5.06E-02,7764.543
5.08E-02,7796.749
5.09E-02,7827.203
5.10E-02,7857.016
5.11E-02,7886.11
5.13E-02,7914.436
5.14E-02,7942.687
5.15E-02,7970.882
5.16E-02,7999.065
5.18E-02,8027.896
5.19E-02,8056.199
5.20E-02,8087.298
5.21E-02,8117.303
5.22E-02,8146.461
5.24E-02,8175.359
5.25E-02,8205.033
5.26E-02,8233.476
5.27E-02,8260.5
5.29E-02,8287.129
5.30E-02,8312.845
5.31E-02,8340.445
5.32E-02,8370.174
5.33E-02,8401.398
5.35E-02,8430.555
5.36E-02,8459.65
5.37E-02,8486.665
5.38E-02,8516.851
5.39E-02,8546.319
5.41E-02,8574.691
5.42E-02,8603.18
5.43E-02,8632.128
5.44E-02,8659.062
5.46E-02,8685.677
5.47E-02,8716.819
5.48E-02,8745.906
5.49E-02,8775.5
5.50E-02,8803.807
5.52E-02,8832.878
5.53E-02,8864.019
5.54E-02,8893.023
5.55E-02,8921.647
5.56E-02,8949.939
5.58E-02,8978.488
5.59E-02,9006.839
5.60E-02,9035.772
5.61E-02,9066.132
5.62E-02,9096.102
5.63E-02,9126.139
5.65E-02,9155.853
5.66E-02,9185.434
5.67E-02,9215.336
5.68E-02,9245.502
5.69E-02,9275.787
5.70E-02,9306.654
5.72E-02,9338.231
5.73E-02,9367.929
5.74E-02,9398.72
5.75E-02,9430.294
5.76E-02,9460.581
5.77E-02,9493.19
5.79E-02,9523.233
5.80E-02,9552.994
5.81E-02,9582.181
5.82E-02,9611.68
5.83E-02,9639.44
5.84E-02,9668.354
5.86E-02,9696.746
5.87E-02,9725.074
5.88E-02,9752.883
5.89E-02,9779.848
5.90E-02,9810.376
5.91E-02,9840.66
5.93E-02,9872.032
5.94E-02,9916.331
5.95E-02,9942.917
5.96E-02,9970.146
5.97E-02,9997.819
5.98E-02,10026.017
5.99E-02,10054.913
6.01E-02,10083.559
6.02E-02,10112.324
6.03E-02,10140.589
6.04E-02,10168.776
6.05E-02,10199.234
6.06E-02,10227.946
6.07E-02,10254.655
6.09E-02,10281.358
6.10E-02,10309.683
6.11E-02,10340.064
6.12E-02,10368.451
6.13E-02,10398.312
6.14E-02,10425.789
6.15E-02,10453.579
6.17E-02,10481.885
6.18E-02,10510.063
6.19E-02,10537.848
6.20E-02,10565.835
6.21E-02,10596.083
6.22E-02,10623.24
6.23E-02,10652.717
6.24E-02,10682.062
6.26E-02,10710.56
6.27E-02,10739.139
6.28E-02,10768.862
6.29E-02,10798.651
6.30E-02,10827.536
6.31E-02,10856.288
6.32E-02,10885.289
6.33E-02,10914.101
6.35E-02,10943.105
6.36E-02,10972.639
6.37E-02,11002.427
6.38E-02,11032.873
6.39E-02,11062.803
6.40E-02,11093.374
6.41E-02,11124.001
6.42E-02,11153.917
6.43E-02,11184.732
6.45E-02,11213.74
6.46E-02,11245.258
6.47E-02,11275.166
6.48E-02,11306.939
6.49E-02,11337.889
6.50E-02,11367.791
6.51E-02,11396.209
6.52E-02,11425.268
6.53E-02,11453.628
6.54E-02,11483.207
6.56E-02,11513.31
6.57E-02,11542.625
6.58E-02,11571.494
6.59E-02,11600.868
6.60E-02,11628.697
6.61E-02,11657.093
6.62E-02,11687.955
6.63E-02,11716.744
6.64E-02,11747.476
6.65E-02,11779.296
6.67E-02,11811.393
6.68E-02,11840.31
6.69E-02,11868.595
6.70E-02,11895.904
6.71E-02,11922.96
6.72E-02,11950.849
6.73E-02,11981.516
6.74E-02,12009.138
6.75E-02,12037.792
6.76E-02,12066.127
6.77E-02,12094.392
6.78E-02,12123.107
6.80E-02,12151.819
6.81E-02,12180.269
6.82E-02,12209.112
6.83E-02,12237.772
6.84E-02,12266.035
6.85E-02,12294.118
6.86E-02,12322.322
6.87E-02,12350.013
6.88E-02,12377.695
6.89E-02,12406.548
6.90E-02,12434.547
6.91E-02,12463.066
6.92E-02,12493.066
6.94E-02,12521.329
6.95E-02,12550.748
6.96E-02,12579.514
6.97E-02,12609.636
6.98E-02,12638.406
6.99E-02,12667.185
7.00E-02,12696.286
7.01E-02,12724.744
7.02E-02,12753.072
7.03E-02,12781.336
7.04E-02,12809.718
7.05E-02,12838.362
7.06E-02,12866.998
7.07E-02,12896.278
7.08E-02,12927.044
7.10E-02,12956.904
7.11E-02,12988.31
7.12E-02,13018.43
7.13E-02,13048.287
7.14E-02,13078.138
7.15E-02,13107.797
7.16E-02,13137.29
7.17E-02,13166.824
7.18E-02,13198.05
7.19E-02,13228.113
7.20E-02,13256.558
7.21E-02,13284.867
7.22E-02,13313.567
7.23E-02,13341.999
7.24E-02,13370.046
7.25E-02,13395.889
7.26E-02,13423.543
7.27E-02,13452.163
7.28E-02,13481.039
7.30E-02,13512.11
7.31E-02,13543.568
7.32E-02,13572.57
7.33E-02,13602.42
7.34E-02,13632.335
7.35E-02,13661.607
7.36E-02,13690.097
7.37E-02,13718.911
7.38E-02,13747.345
7.39E-02,13776.729
7.40E-02,13805.021
7.41E-02,13832.337
7.42E-02,13859.979
7.43E-02,13887.228
7.44E-02,13915.314
7.45E-02,13943.14
7.46E-02,13970.77
7.47E-02,13998.334
7.48E-02,14025.575
7.49E-02,14051.848
7.50E-02,14079.743
7.51E-02,14107.768
7.52E-02,14138.438
7.53E-02,14166.66
7.54E-02,14194.943
7.55E-02,14224.847
7.56E-02,14254.285
7.57E-02,14282.693
7.58E-02,14311.092
7.59E-02,14339.442
7.60E-02,14367.774
7.61E-02,14396.237
7.63E-02,14424.497
7.64E-02,14453.02
7.65E-02,14481.08
7.66E-02,14509.283
7.67E-02,14537.612
7.68E-02,14566.662
7.69E-02,14595.708
7.70E-02,14623.334
7.71E-02,14650.955
7.72E-02,14680.452
7.73E-02,14710.336
7.74E-02,14738.791
7.75E-02,14768.019
7.76E-02,14797.44
7.77E-02,14827.64
7.78E-02,14858.155
7.79E-02,14888.99
7.80E-02,14919.443
7.81E-02,14947.12
7.82E-02,14976.657
7.83E-02,15002.895
7.84E-02,15031.533
7.85E-02,15060.306
7.86E-02,15089.269
7.87E-02,15120.109
7.88E-02,15151.525
7.89E-02,15179.846
7.90E-02,15207.45
7.91E-02,15235.51
7.92E-02,15261.301
7.93E-02,15288.45
7.94E-02,15316.242
