Mesh_Sizes,CgDiagCPU,CgLusgsCPU,CgDiagGPU,GmresDiagGPU
19684,0.1803416667,0.1651627778,0.5173036111,0.3657861111
98304,2.2230336111,1.9675463889,2.2216111111,2.5837777778
169708,4.6820141667,3.9905636111,4.0665261111,4.6035286111
