Total Analysis (h),29.1440611111,25.8094641667,24.9077719444,20.7155313889,36.4418519444,23.6620922222,17.8938516667,20.6850272222
No. of Solves,6548,9314,6555,6482,6479,6479,6555,6479
No. of Timesteps,6427,6427,6427,6428,6428,6428,6427,6428
Total (sec),53204.62099,25858.6146,32279.63836,17502.6533,74165.6568,28200.71469,5274.31413,15474.15316
Ave. / Timestep (msec),8278.297960168,4023.4346662518,5022.5048016182,2722.8769912881,11537.9055382701,4387.1678111388,820.6494678699,2407.3044741755
Ave. / Solve (msec),8125.3239141723,2776.3167919261,4924.429955759,2700.1933508177,11447.0839327057,4352.6338462726,804.6245812357,2388.3551720945
,,,,,,,,
Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
68,1304.382,931.776,1235.127,925.331,1936.119,1112.593,849.858,927.225
69,1328.992,946.223,1259.72,938.65,1971.948,1130.916,865.894,941.038
70,1354.402,960.013,1282.668,951.925,2005.865,1147.785,882.32,954.758
71,1378.92,972.916,1297.591,965.024,2033.964,1164.535,892.298,967.506
72,1403.952,986.701,1312.45,977.853,2067.838,1181.359,907.962,981.521
73,1418.958,998.865,1327.245,989.335,2087.749,1194.255,917.946,992.993
74,1442.679,1012.209,1350.04,1002.429,2119.763,1211.084,933.649,1006.35
75,1458.213,1024.707,1364.908,1015.479,2147.68,1226.68,943.66,1018.97
76,1482.136,1038.492,1388.508,1028.765,2180.514,1243.472,959.519,1031.837
77,1505.515,1051.438,1403.604,1041.703,2213.43,1260.345,969.541,1045.56
78,1529.526,1064.782,1418.459,1054.769,2246.321,1277.212,979.53,1058.919
79,1552.377,1077.261,1440.575,1067.421,2274.336,1292.65,995.114,1071.49
80,1577.446,1091.07,1464.217,1080.586,2310.245,1310.703,1010.888,1085.912
81,1593.45,1104.449,1479.08,1093.663,2340.105,1327.545,1020.905,1099.334
82,1609.397,1117.845,1501.955,1106.744,2370.055,1343.006,1036.539,1112.453
83,1625.458,1130.768,1516.937,1119.754,2397.937,1358.484,1046.607,1125.172
84,1641.54,1144.583,1541.476,1132.914,2432.075,1376.643,1062.438,1138.605
85,1665.821,1157.51,1556.366,1145.99,2462.124,1393.445,1072.434,1151.668
86,1681.671,1171.012,1571.458,1159.188,2494.062,1410.227,1082.432,1165.072
87,1697.507,1192.127,1586.368,1172.316,2525.2,1427.312,1092.458,1178.358
88,1713.683,1203.279,1601.306,1185.232,2560.162,1444.18,1102.499,1192.431
89,1730.108,1214.432,1616.228,1198.289,2592.085,1462.331,1112.541,1205.86
90,1747.89,1226.538,1641.697,1212.08,2627.064,1480.594,1128.502,1219.528
91,1764.769,1238.157,1666.525,1225.455,2660.087,1498.949,1144.423,1233.134
92,1781.676,1249.795,1689.544,1239.181,2702.996,1517.104,1160.231,1248.467
93,1797.681,1267.123,1712.948,1252.554,2739.095,1534.099,1176.211,1262.757
94,1821.832,1285.768,1727.915,1265.101,2769.134,1549.735,1186.304,1275.925
95,1846.536,1305.329,1743.014,1278.076,2804.185,1565.288,1196.456,1289.901
