Mesh_Sizes,CgDiagCPU,CgLusgsCPU,CgDiagGPU,GmresDiagGPU
19684,0.1803416667,0.1651627778,0.5173036111,0.3657861111
98304,2.2230336111,1.9675463889,2.2216111111,2.5837777778
169708,4.6820141667,3.9905636111,4.0665261111,4.6035286111
243165,8.1148055556,6.82845,6.6806475,7.3947463889
515679,24.9077719444,20.7155313889,17.8938516667,20.6850272222
1101351,79.9043819444,65.3800969444,56.283895,62.2742163889
