Mesh_Sizes,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
19684,0.808443343066768,0.733486856993117,0.603082490682162,0.855573843807404,0.752112420257425,0.796284250370503,0.843968511828957
98304,0.808666710794952,0.794973791882742,0.670801924274955,0.898559733509737,0.798803825326472,0.605765216107679,0.76537792939574
169708,0.839323965690859,0.841630605672469,0.733397566867891,0.919596261868765,0.824263024314236,0.574705397897272,0.761334055786147
243165,0.849967423992552,0.854633375286161,0.753596034102538,0.92635754694815,0.835863248584902,0.546137466102157,0.755100598826992
515679,0.822303201131705,0.870963204638793,0.786326581373507,0.939784335890495,0.855882504693342,0.516940445132785,0.758903404354124
1101351,0.779353672834309,0.87976334034788,0.80683798370285,0.951821417380587,0.874976903230924,0.475446747596404,0.7647679290232
Average,0.818009719585191,0.829241862470194,0.72567376350065,0.915282189900856,0.823650321067884,0.585879920534467,0.774908738202527
