Mesh_Sizes,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
19684,235.3013888533,116.5845921845,77.591431262,42.8085317745,167.0307142857,85.5509673927,293.1238715119,262.1005336323
98304,1274.1866635229,591.483252982,537.66,285.2093353675,1239.8934507628,555.3412785021,251.8293617198,551.4968955895
169708,2484.470073278,1088.37821096,1273.9320758434,659.7212656981,2743.643317734,1125.4200911555,340.1493761478,857.2264810837
