Simulated_Time,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
0.00100,17.458,69.665,7.822,7.143,15.816,8.392,8.431,8.754
0.00220,48.776,125.283,32.491,30.862,43.574,33.025,33.66,33.081
0.00364,54.65,131.155,36.775,34.584,49.704,37.167,37.09,36.989
0.00496,62.122,156.549,41.428,38.512,58.185,41.724,42.609,41.344
0.00614,68.683,162.851,46.094,42.245,64.961,45.857,46.01,45.477
0.00721,75.071,167.957,50.86,46.026,71.735,50.001,51.523,49.625
0.00820,81.329,172.831,55.633,49.739,78.526,54.169,57.004,53.669
0.00912,87.298,177.565,60.343,53.416,84.98,58.506,62.503,57.755
0.01000,93.372,182.166,65.01,57.084,91.109,62.67,67.977,61.763
0.01080,99.353,186.771,69.651,60.841,97.23,66.808,73.486,65.8
0.01160,105.228,191.377,74.278,64.484,103.357,70.944,79.039,69.811
0.01240,111.199,195.986,78.971,68.125,109.225,75.087,84.769,73.791
0.01310,117.277,200.593,83.603,71.766,115.027,79.226,90.301,77.834
0.01390,123.315,205.2,88.246,75.393,120.832,83.364,95.754,81.792
0.01460,129.336,209.807,92.9,79.035,126.636,87.504,101.243,85.728
0.01520,135.312,214.484,97.569,82.649,132.51,91.643,106.742,89.688
0.01590,141.445,219.092,102.225,86.33,138.643,95.789,112.269,93.7
0.01650,148.131,224.106,106.904,90.04,145.424,99.932,115.706,97.802
0.01720,154.081,230.032,111.437,93.704,151.237,104.075,119.141,101.777
0.01780,160.107,234.644,115.95,97.399,157.373,108.218,122.575,105.808
0.01840,166.447,239.58,120.715,101.33,165.131,112.784,128.207,110.161
0.01890,173.139,247.07,125.312,105.025,171.922,116.927,131.644,114.321
0.01950,179.592,253.372,129.805,108.724,178.054,121.071,135.105,118.328
0.02000,187.106,264.893,134.428,112.533,185.816,125.637,140.644,122.7
0.02060,194.525,280.086,139.164,116.355,193.601,130.204,146.227,127.001
0.02110,200.492,286.022,143.594,119.951,199.086,134.354,149.665,130.899
0.02160,208.147,300.339,148.326,123.809,206.539,138.923,155.167,135.189
0.02210,215.775,323.993,153.148,127.754,214.63,143.494,160.693,139.56
0.02260,222.837,338.722,157.839,131.469,221.413,147.641,166.254,143.709
0.02310,230.464,348.899,162.614,135.408,229.191,152.214,171.774,148.084
0.02360,241.549,388.075,167.391,139.366,238.372,156.822,177.297,152.577
0.02400,246.45,392.976,172.164,143.295,246.461,161.393,182.81,157.008
0.02450,251.45,396.659,179.44,147.278,254.244,166.39,188.357,161.338
0.02500,256.431,400.206,184.211,151.159,261.742,170.966,193.854,165.583
0.02540,261.332,403.751,188.987,155.013,268.849,175.546,199.406,169.805
0.02590,266.439,407.298,193.666,158.868,276.935,180.183,204.93,174.184
0.02630,272.808,410.846,198.301,162.648,283.156,184.378,208.374,178.271
0.02680,279.989,414.468,203.137,166.559,290.595,188.957,214.056,182.657
0.02720,287.165,417.894,207.679,170.265,297.377,193.533,217.755,186.792
0.02760,295.033,421.443,212.36,174.131,305.78,198.12,223.325,191.278
0.02810,302.571,425.13,217.137,178.102,314.835,202.698,228.953,195.85
0.02850,307.517,428.681,221.914,181.855,321.618,206.949,234.515,200.006
0.02890,312.329,432.372,226.66,185.836,331.032,211.951,240.05,204.65
0.02930,317.172,436.061,231.442,189.822,339.439,216.541,245.606,209.207
0.02970,321.991,439.813,236.221,193.713,346.875,221.123,251.261,213.549
0.03010,326.516,443.233,240.616,197.406,353.344,225.706,254.713,217.696
0.03050,331.371,446.925,245.302,201.269,362.082,230.714,260.29,222.279
0.03090,336.195,450.618,250.086,205.236,369.526,235.303,265.813,226.65
0.03130,341.18,454.45,254.879,209.09,376.643,239.889,271.348,230.862
0.03170,346.107,458.145,259.665,213.058,385.2,244.477,276.927,235.362
0.03210,353.823,461.84,264.439,217.009,393.62,249.066,282.524,239.875
0.03250,361.357,465.537,269.228,220.961,401.386,253.657,288.052,244.253
0.03290,368.525,469.243,274.017,224.839,408.646,258.283,293.592,248.524
0.03320,375.905,472.812,278.595,228.586,416.089,262.875,299.099,252.899
0.03360,383.475,476.507,283.268,232.438,424.502,267.463,304.676,257.456
0.03400,391.17,480.34,288.058,236.571,433.243,272.052,310.184,261.985
0.03440,398.34,484.038,292.855,240.524,440.36,276.648,315.726,266.201
0.03470,404.25,487.735,297.257,244.223,446.826,280.911,319.187,270.329
0.03510,409.053,491.567,302.049,248.131,455.559,285.938,324.767,274.917
0.03550,413.954,495.267,307.067,252.097,463.323,290.535,330.335,279.283
0.03580,418.801,498.965,311.941,256.032,470.761,295.131,335.873,283.597
0.03620,423.503,502.663,316.734,259.938,477.876,299.303,341.42,287.844
0.03650,429.223,506.362,321.21,263.61,484.669,303.472,344.879,291.932
0.03690,436.862,510.196,326.002,267.498,493.41,308.484,350.459,296.47
0.03720,441.766,514.105,330.99,271.471,501.172,313.076,356.187,300.858
0.03760,446.676,517.963,335.788,275.398,508.08,317.671,361.979,305.019
0.03790,451.414,521.663,340.494,279.221,514.871,321.842,367.505,309.287
0.03830,456.224,525.364,344.896,282.892,520.368,326.013,370.964,313.473
0.03860,461.167,529.202,349.692,286.931,528.457,331.186,376.538,317.999
0.03890,466.066,532.905,354.56,290.871,536.631,335.826,382.151,322.496
0.03930,470.891,536.605,359.355,294.79,544.07,340.418,387.939,326.946
0.03960,475.567,540.316,364.017,298.605,550.867,344.59,391.396,331.176
0.03990,481.147,544.018,368.408,302.308,556.69,348.762,394.953,335.228
