Mesh_Sizes,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
19684,0.24844,0.19429,0.1803416667,0.1651627778,0.2191386111,0.1838122222,0.5173036111,0.3657861111
98304,2.8604813889,2.2740005556,2.2230336111,1.9675463889,2.9236380556,2.2369416667,2.2216111111,2.5837777778
169708,5.8145541667,4.8386602778,4.6820141667,3.9905636111,6.3406905556,4.5153691667,4.0665261111,4.6035286111
