Mesh_Sizes,AmgClassCPU,AmgFreeCPU,CgDiagGPU,GmresDiagGPU
19684,0.24844,0.19429,0.5173036111,0.3657861111
98304,2.8604813889,2.2740005556,2.2216111111,2.5837777778
169708,5.8145541667,4.8386602778,4.0665261111,4.6035286111
243165,9.8795605556,8.4694705556,6.6806475,7.3947463889
515679,29.1440611111,25.8094641667,17.8938516667,20.6850272222
1101351,89.0821369444,85.3470458333,56.283895,62.2742163889
