#CpuCgDiag98304
Simulated_Time(sec),CPU_Time(sec)
1.00E-03,3.901
2.20E-03,17.96
3.64E-03,20.282
5.37E-03,22.721
6.90E-03,25.226
8.25E-03,27.603
9.48E-03,30.169
1.06E-02,32.721
1.17E-02,35.193
1.26E-02,37.657
1.36E-02,40.12
1.45E-02,42.578
1.54E-02,45.039
1.62E-02,47.496
1.70E-02,49.96
1.78E-02,52.443
1.86E-02,54.996
1.93E-02,57.576
2.00E-02,60.163
2.07E-02,62.771
2.14E-02,65.403
2.21E-02,67.994
2.28E-02,70.633
2.34E-02,73.107
2.40E-02,75.587
2.47E-02,78.005
2.53E-02,80.347
2.59E-02,82.786
2.65E-02,85.307
2.71E-02,87.802
2.76E-02,90.044
2.82E-02,92.36
2.87E-02,94.646
2.93E-02,96.966
2.98E-02,99.322
3.03E-02,101.91
3.08E-02,104.359
3.13E-02,106.687
3.18E-02,109.019
3.23E-02,111.449
3.28E-02,113.908
3.33E-02,116.417
3.38E-02,118.808
3.42E-02,121.194
3.47E-02,123.64
3.52E-02,126.1
3.56E-02,128.589
3.61E-02,131.239
3.65E-02,133.896
3.70E-02,136.552
3.74E-02,139.118
3.78E-02,141.623
3.83E-02,144.168
3.87E-02,146.779
3.91E-02,149.295
3.95E-02,151.788
4.00E-02,154.225
4.04E-02,156.65
4.08E-02,159.108
4.12E-02,161.654
4.16E-02,164.185
4.20E-02,166.627
4.24E-02,169.135
4.28E-02,171.587
4.32E-02,174.128
4.36E-02,176.66
4.40E-02,179.214
4.44E-02,181.706
4.48E-02,184.129
4.52E-02,186.474
4.56E-02,188.835
4.59E-02,191.366
4.63E-02,193.889
4.67E-02,196.436
4.71E-02,198.939
4.74E-02,201.417
4.78E-02,203.763
4.81E-02,206.183
4.85E-02,208.641
4.88E-02,211.086
4.92E-02,213.678
4.96E-02,216.204
4.99E-02,218.518
5.03E-02,220.764
5.06E-02,223.029
5.10E-02,225.357
5.13E-02,227.801
5.17E-02,230.328
5.20E-02,232.862
5.23E-02,235.516
5.27E-02,237.925
5.30E-02,240.295
5.34E-02,242.6
5.37E-02,244.954
5.40E-02,247.445
5.44E-02,249.906
5.47E-02,252.443
5.50E-02,254.973
5.54E-02,257.513
5.57E-02,260.01
5.60E-02,262.496
5.63E-02,265.021
5.67E-02,267.52
5.70E-02,270.171
5.73E-02,272.529
5.76E-02,275.011
5.79E-02,277.561
5.82E-02,280.114
5.85E-02,282.657
5.88E-02,285.257
5.92E-02,287.784
5.95E-02,290.177
5.98E-02,292.828
6.01E-02,295.479
6.04E-02,297.806
6.07E-02,300.389
6.10E-02,302.809
6.13E-02,305.335
6.16E-02,307.869
6.19E-02,310.387
6.22E-02,312.868
6.25E-02,315.325
6.28E-02,317.705
6.31E-02,320.022
6.34E-02,322.338
6.37E-02,324.673
6.40E-02,326.917
6.43E-02,329.3
6.46E-02,331.683
6.49E-02,334.099
6.52E-02,336.636
6.55E-02,338.947
6.58E-02,341.464
6.60E-02,343.954
6.63E-02,346.45
6.66E-02,348.938
6.69E-02,351.272
6.72E-02,353.571
6.75E-02,355.985
6.77E-02,358.416
6.80E-02,360.811
6.83E-02,363.194
6.86E-02,365.617
6.89E-02,368.075
6.91E-02,370.484
6.94E-02,372.957
6.97E-02,375.518
7.00E-02,378.048
7.02E-02,380.627
7.05E-02,383.088
7.08E-02,385.469
7.11E-02,387.851
7.13E-02,390.233
7.16E-02,392.641
7.19E-02,395.046
7.22E-02,397.327
7.24E-02,399.846
7.27E-02,402.316
7.30E-02,404.74
7.32E-02,407.19
7.35E-02,409.705
7.38E-02,412.354
7.40E-02,415.002
7.43E-02,417.501
7.46E-02,420.092
7.48E-02,422.551
7.51E-02,425.144
7.54E-02,427.641
7.56E-02,430.289
7.59E-02,432.634
7.62E-02,434.941
7.64E-02,437.303
7.67E-02,439.666
7.69E-02,441.975
7.72E-02,444.478
7.74E-02,446.956
7.77E-02,449.181
7.80E-02,451.618
7.82E-02,454.064
7.85E-02,456.431
7.87E-02,458.711
7.90E-02,461.118
7.92E-02,463.649
7.95E-02,466.02
7.97E-02,468.459
8.00E-02,470.912
8.02E-02,473.359
8.05E-02,475.745
8.07E-02,478.131
8.10E-02,480.537
8.12E-02,482.942
8.15E-02,485.342
8.17E-02,487.846
8.20E-02,490.349
8.22E-02,492.874
8.25E-02,495.325
8.27E-02,497.832
8.30E-02,500.304
8.32E-02,502.692
8.35E-02,505.062
8.37E-02,507.318
8.40E-02,509.678
8.42E-02,512.037
8.45E-02,514.378
8.47E-02,516.728
8.49E-02,519.095
8.52E-02,521.556
8.54E-02,524.033
8.57E-02,526.452
8.59E-02,528.847
8.62E-02,531.308
8.64E-02,533.886
8.66E-02,536.474
8.69E-02,538.922
8.71E-02,541.444
8.74E-02,543.873
8.76E-02,546.308
8.78E-02,548.814
8.81E-02,551.294
8.83E-02,553.69
8.86E-02,555.994
8.88E-02,558.155
8.90E-02,560.435
8.93E-02,562.738
8.95E-02,565.09
8.97E-02,567.46
9.00E-02,569.721
9.02E-02,572.038
9.04E-02,574.332
9.07E-02,576.723
9.09E-02,579.129
9.12E-02,581.54
9.14E-02,583.821
9.16E-02,586.092
9.19E-02,588.361
9.21E-02,590.691
9.23E-02,593.027
9.25E-02,595.375
9.28E-02,597.732
9.30E-02,600.083
9.32E-02,602.44
9.35E-02,604.946
9.37E-02,607.412
9.39E-02,609.799
9.41E-02,612.336
9.44E-02,614.798
9.46E-02,617.322
9.48E-02,619.663
9.51E-02,622.033
9.53E-02,624.407
9.55E-02,626.775
9.57E-02,629.117
9.60E-02,631.461
9.62E-02,633.848
9.64E-02,636.227
9.67E-02,638.605
9.69E-02,640.953
9.71E-02,643.363
9.73E-02,645.843
9.76E-02,648.148
9.78E-02,650.589
9.80E-02,653.195
9.82E-02,655.526
9.84E-02,657.952
9.87E-02,660.241
9.89E-02,662.598
9.91E-02,664.854
9.93E-02,667.222
9.96E-02,669.759
9.98E-02,672.002
1.00E-01,674.358
1.00E-01,676.67
1.00E-01,678.943
1.01E-01,681.099
1.01E-01,683.295
1.01E-01,685.661
1.01E-01,687.969
1.02E-01,690.27
1.02E-01,692.578
1.02E-01,694.869
1.02E-01,697.197
1.02E-01,699.615
1.03E-01,702.021
1.03E-01,704.426
1.03E-01,706.684
1.03E-01,709.032
1.04E-01,711.47
1.04E-01,713.777
1.04E-01,716.17
1.04E-01,718.438
1.04E-01,720.784
1.05E-01,723.127
1.05E-01,725.51
1.05E-01,727.862
1.05E-01,730.212
1.05E-01,732.568
1.06E-01,734.998
1.06E-01,737.471
1.06E-01,739.814
1.06E-01,742.296
1.07E-01,744.757
1.07E-01,747.13
1.07E-01,749.414
1.07E-01,751.734
1.07E-01,754.129
1.08E-01,756.606
1.08E-01,759.089
1.08E-01,761.485
1.08E-01,763.879
1.08E-01,766.444
1.09E-01,768.72
1.09E-01,771.237
1.09E-01,773.592
1.09E-01,775.988
1.10E-01,778.378
1.10E-01,780.86
1.10E-01,783.339
1.10E-01,785.681
1.10E-01,788.1
1.11E-01,790.395
1.11E-01,792.538
1.11E-01,794.798
1.11E-01,797.099
1.11E-01,799.362
1.12E-01,801.638
1.12E-01,804.029
1.12E-01,806.341
1.12E-01,808.591
1.12E-01,810.837
