#GpuCgDiag19684
Simulated_Time(sec),CPU_Time(sec)
1.00E-03,3.065
2.20E-03,7.445
3.64E-03,8.159
5.37E-03,8.886
7.44E-03,9.617
9.93E-03,10.369
1.26E-02,13.342
1.48E-02,15.751
1.67E-02,17.568
1.85E-02,19.437
2.02E-02,20.727
2.17E-02,22.014
2.32E-02,23.293
2.46E-02,25.133
2.59E-02,26.404
2.72E-02,27.113
2.84E-02,28.98
2.96E-02,30.897
3.08E-02,32.145
3.19E-02,33.447
3.30E-02,36.445
3.41E-02,37.759
3.51E-02,39.675
3.61E-02,41.539
3.70E-02,42.868
3.79E-02,44.163
3.88E-02,46.043
3.97E-02,47.315
4.06E-02,49.218
4.14E-02,49.97
4.23E-02,50.698
4.31E-02,51.977
4.39E-02,54.371
4.47E-02,55.126
4.55E-02,55.828
4.63E-02,57.716
4.71E-02,59.576
4.78E-02,60.88
4.86E-02,61.647
4.93E-02,62.95
5.00E-02,63.666
5.07E-02,64.382
5.14E-02,65.628
5.20E-02,66.954
5.27E-02,67.695
5.34E-02,68.392
5.41E-02,69.662
5.48E-02,70.376
5.55E-02,72.229
5.62E-02,74.1
5.68E-02,74.862
5.75E-02,75.613
5.81E-02,76.877
5.88E-02,78.167
5.94E-02,78.928
6.01E-02,79.693
6.07E-02,82.689
6.13E-02,85.167
6.19E-02,86.477
6.25E-02,88.351
6.31E-02,89.615
6.37E-02,90.357
6.43E-02,92.776
6.49E-02,93.513
6.55E-02,94.84
6.60E-02,95.586
6.66E-02,96.889
6.71E-02,97.641
6.77E-02,98.97
6.82E-02,100.296
6.88E-02,101.557
6.93E-02,102.843
6.99E-02,103.608
7.04E-02,104.907
7.10E-02,105.65
7.15E-02,106.994
7.20E-02,107.728
7.26E-02,110.134
7.31E-02,111.989
7.36E-02,112.737
7.42E-02,113.468
7.47E-02,114.206
7.52E-02,116.072
7.57E-02,116.785
7.63E-02,118.622
7.68E-02,119.916
7.73E-02,121.763
7.78E-02,122.519
7.83E-02,124.354
7.88E-02,125.689
7.93E-02,126.407
7.98E-02,128.203
8.03E-02,130.644
8.08E-02,131.947
8.13E-02,133.236
8.17E-02,135.673
8.22E-02,136.431
8.27E-02,137.192
8.32E-02,137.931
8.37E-02,139.223
8.41E-02,139.951
8.46E-02,141.254
8.51E-02,142.589
8.55E-02,144.479
8.60E-02,146.977
8.65E-02,148.295
8.69E-02,149.612
8.74E-02,151.486
8.79E-02,152.214
8.83E-02,153.49
8.88E-02,155.348
8.93E-02,156.055
8.97E-02,157.331
9.02E-02,158.044
9.06E-02,159.864
9.11E-02,161.179
9.15E-02,161.89
9.20E-02,163.185
9.24E-02,165.094
9.28E-02,165.844
9.33E-02,167.111
9.37E-02,167.852
9.42E-02,169.686
9.46E-02,170.443
9.50E-02,171.192
9.54E-02,173.555
9.59E-02,174.286
9.63E-02,176.718
9.67E-02,178.027
9.72E-02,178.757
9.76E-02,180.057
9.80E-02,182.499
9.84E-02,183.762
9.88E-02,186.253
9.93E-02,187.015
9.97E-02,188.273
1.00E-01,189.036
1.01E-01,189.794
1.01E-01,191.076
1.01E-01,191.824
1.02E-01,192.529
1.02E-01,193.236
1.03E-01,195.139
1.03E-01,196.963
1.03E-01,197.688
1.04E-01,198.42
1.04E-01,199.149
1.05E-01,199.879
1.05E-01,200.578
1.05E-01,201.275
1.06E-01,202.558
1.06E-01,203.282
