#CpuGmresDiag98304
Simulated_Time(sec),CPU_Time(sec)
1.00E-03,7.473
2.20E-03,23.056
3.64E-03,26.554
5.37E-03,29.868
6.90E-03,33.735
8.25E-03,37.051
9.48E-03,40.545
1.06E-02,43.675
1.17E-02,46.813
1.26E-02,49.944
1.36E-02,53.076
1.45E-02,56.208
1.54E-02,59.341
1.62E-02,62.479
1.70E-02,65.611
1.78E-02,68.744
1.86E-02,71.88
1.93E-02,75.014
2.00E-02,78.147
2.07E-02,81.286
2.14E-02,84.421
2.21E-02,87.558
2.28E-02,90.694
2.34E-02,93.83
2.40E-02,97.335
2.47E-02,100.473
2.53E-02,103.797
2.59E-02,106.937
2.65E-02,110.447
2.71E-02,113.951
2.76E-02,117.092
2.82E-02,120.232
2.87E-02,123.375
2.93E-02,126.516
2.98E-02,129.658
3.03E-02,133.53
3.08E-02,137.221
3.13E-02,140.365
3.18E-02,143.509
3.23E-02,146.652
3.28E-02,150.528
3.33E-02,154.22
3.38E-02,157.548
3.42E-02,160.876
3.47E-02,164.203
3.52E-02,167.9
3.56E-02,171.593
3.61E-02,175.836
3.65E-02,180.259
3.70E-02,184.137
3.74E-02,188.197
3.78E-02,192.257
3.83E-02,196.318
3.87E-02,200.38
3.91E-02,204.258
3.95E-02,208.319
4.00E-02,212.197
4.04E-02,215.891
4.08E-02,219.951
4.12E-02,223.646
4.16E-02,227.16
4.20E-02,230.489
4.24E-02,234.185
4.28E-02,237.514
4.32E-02,241.572
4.36E-02,245.631
4.40E-02,249.325
4.44E-02,252.653
4.48E-02,255.8
4.52E-02,258.765
4.56E-02,261.728
4.59E-02,265.601
4.63E-02,269.843
4.67E-02,273.535
4.71E-02,276.864
4.74E-02,280.192
4.78E-02,283.155
4.81E-02,286.117
4.85E-02,289.994
4.88E-02,293.87
4.92E-02,297.928
4.96E-02,301.62
4.99E-02,304.765
5.03E-02,307.727
5.06E-02,310.506
5.10E-02,313.468
5.13E-02,316.614
5.17E-02,320.671
5.20E-02,324.545
5.23E-02,328.601
5.27E-02,332.294
5.30E-02,335.629
5.34E-02,338.956
5.37E-02,342.283
5.40E-02,345.976
5.44E-02,349.668
5.47E-02,353.543
5.50E-02,357.417
5.54E-02,361.474
5.57E-02,365.165
5.60E-02,369.221
5.63E-02,373.278
5.67E-02,377.337
5.70E-02,381.029
5.73E-02,384.721
5.76E-02,388.96
5.79E-02,393.199
5.82E-02,396.892
5.85E-02,401.131
5.88E-02,405.188
5.92E-02,408.883
5.95E-02,412.574
5.98E-02,417.36
6.01E-02,421.782
6.04E-02,425.473
6.07E-02,429.164
6.10E-02,432.307
6.13E-02,436.18
6.16E-02,440.054
6.19E-02,444.292
6.22E-02,448.348
6.25E-02,452.038
6.28E-02,455.546
6.31E-02,458.872
6.34E-02,462.014
6.37E-02,465.157
6.40E-02,467.939
6.43E-02,471.265
6.46E-02,474.408
6.49E-02,477.368
6.52E-02,480.874
6.55E-02,484.199
6.58E-02,487.707
6.60E-02,491.397
6.63E-02,495.088
6.66E-02,498.78
6.69E-02,502.469
6.72E-02,505.794
6.75E-02,509.119
6.77E-02,512.444
6.80E-02,515.952
6.83E-02,519.277
6.86E-02,522.785
6.89E-02,526.475
6.91E-02,529.984
6.94E-02,533.855
6.97E-02,537.909
7.00E-02,542.33
7.02E-02,546.383
7.05E-02,550.072
7.08E-02,552.848
7.11E-02,556.172
7.13E-02,559.498
7.16E-02,562.822
7.19E-02,566.511
7.22E-02,569.287
7.24E-02,572.611
7.27E-02,576.3
7.30E-02,579.989
7.32E-02,583.678
7.35E-02,587.919
7.38E-02,592.52
7.40E-02,597.122
7.43E-02,600.81
7.46E-02,605.23
7.48E-02,608.918
7.51E-02,613.154
7.54E-02,616.845
7.56E-02,620.9
7.59E-02,624.406
7.62E-02,627.547
7.64E-02,631.053
7.67E-02,634.559
7.69E-02,637.7
7.72E-02,641.39
7.74E-02,645.077
7.77E-02,648.222
7.80E-02,651.909
7.82E-02,655.415
7.85E-02,658.739
7.87E-02,661.88
7.90E-02,665.02
7.92E-02,669.073
7.95E-02,672.763
7.97E-02,676.27
8.00E-02,680.326
8.02E-02,683.831
8.05E-02,687.519
8.07E-02,690.843
8.10E-02,694.167
8.12E-02,697.49
8.15E-02,700.814
8.17E-02,704.503
8.20E-02,708.743
8.22E-02,712.978
8.25E-02,716.85
8.27E-02,720.538
8.30E-02,724.227
8.32E-02,727.733
8.35E-02,731.421
8.37E-02,734.744
8.40E-02,738.069
8.42E-02,741.392
8.45E-02,744.715
8.47E-02,748.039
8.49E-02,750.997
8.52E-02,754.319
8.54E-02,757.825
8.57E-02,761.331
8.59E-02,764.836
8.62E-02,768.711
8.64E-02,773.13
8.66E-02,777.366
8.69E-02,781.236
8.71E-02,785.288
8.74E-02,789.341
8.76E-02,793.212
8.78E-02,797.085
8.81E-02,800.591
8.83E-02,804.097
8.86E-02,807.054
8.88E-02,809.647
8.90E-02,813.153
8.93E-02,816.842
8.95E-02,820.164
8.97E-02,823.487
9.00E-02,827.177
9.02E-02,830.5
9.04E-02,833.822
9.07E-02,837.145
9.09E-02,840.832
9.12E-02,844.339
9.14E-02,847.296
9.16E-02,850.802
9.19E-02,854.307
9.21E-02,857.995
9.23E-02,861.683
9.25E-02,865.37
9.28E-02,869.057
9.30E-02,872.379
9.32E-02,876.067
9.35E-02,879.754
9.37E-02,883.807
9.39E-02,887.499
9.41E-02,891.368
