Mesh_Sizes,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
243165,5.71,2.31,0.61,1.51
515679,20.60,7.83,1.47,4.30
1101351,79.72,28.19,3.95,13.28
