#CpuGmresDiag19684
Simulated_Time(sec),CPU_Time(sec)
1.00E-03,0.974
2.20E-03,4.041
3.64E-03,4.51
5.37E-03,4.979
7.44E-03,5.449
9.93E-03,5.985
1.26E-02,6.59
1.48E-02,7.193
1.67E-02,7.73
1.85E-02,8.267
2.02E-02,8.805
2.17E-02,9.343
2.32E-02,9.882
2.46E-02,10.42
2.59E-02,10.96
2.72E-02,11.502
2.84E-02,12.041
2.96E-02,12.614
3.08E-02,13.119
3.19E-02,13.658
3.30E-02,14.197
3.41E-02,14.802
3.51E-02,15.375
3.61E-02,15.881
3.70E-02,16.42
3.79E-02,16.96
3.88E-02,17.565
3.97E-02,18.205
4.06E-02,18.843
4.14E-02,19.382
4.23E-02,19.99
4.31E-02,20.595
4.39E-02,21.134
4.47E-02,21.739
4.55E-02,22.244
4.63E-02,22.749
4.71E-02,23.253
4.78E-02,23.758
4.86E-02,24.396
4.93E-02,24.968
5.00E-02,25.539
5.07E-02,26.076
5.14E-02,26.581
5.20E-02,27.086
5.27E-02,27.656
5.34E-02,28.161
5.41E-02,28.799
5.48E-02,29.403
5.55E-02,29.941
5.62E-02,30.478
5.68E-02,30.983
5.75E-02,31.487
5.81E-02,31.991
5.88E-02,32.495
5.94E-02,33.001
6.01E-02,33.639
6.07E-02,34.243
6.13E-02,34.814
6.19E-02,35.351
6.25E-02,35.855
6.31E-02,36.393
6.37E-02,36.93
6.43E-02,37.467
6.49E-02,37.941
6.55E-02,38.445
6.60E-02,38.948
6.66E-02,39.585
6.71E-02,40.122
6.77E-02,40.725
6.82E-02,41.296
6.88E-02,41.833
6.93E-02,42.337
6.99E-02,42.807
7.04E-02,43.377
7.10E-02,43.98
7.15E-02,44.55
7.20E-02,45.12
7.26E-02,45.724
7.31E-02,46.327
7.36E-02,46.93
7.42E-02,47.533
7.47E-02,48.07
7.52E-02,48.607
7.57E-02,49.177
7.63E-02,49.714
7.68E-02,50.25
7.73E-02,50.753
7.78E-02,51.257
7.83E-02,51.76
7.88E-02,52.296
7.93E-02,52.833
7.98E-02,53.303
8.03E-02,53.774
8.08E-02,54.244
8.13E-02,54.714
8.17E-02,55.25
8.22E-02,55.753
8.27E-02,56.289
8.32E-02,56.792
8.37E-02,57.395
8.41E-02,57.898
8.46E-02,58.467
8.51E-02,59.036
8.55E-02,59.572
8.60E-02,60.109
8.65E-02,60.645
8.69E-02,61.148
8.74E-02,61.651
8.79E-02,62.154
8.83E-02,62.657
8.88E-02,63.193
8.93E-02,63.729
8.97E-02,64.266
9.02E-02,64.802
9.06E-02,65.339
9.11E-02,65.875
9.15E-02,66.412
9.20E-02,66.915
9.24E-02,67.452
9.28E-02,68.022
9.33E-02,68.658
9.37E-02,69.227
9.42E-02,69.863
9.46E-02,70.432
9.50E-02,71.002
9.54E-02,71.571
9.59E-02,72.108
9.63E-02,72.644
9.67E-02,73.247
9.72E-02,73.783
9.76E-02,74.353
9.80E-02,74.922
9.84E-02,75.492
9.88E-02,76.028
9.93E-02,76.564
9.97E-02,77.1
1.00E-01,77.637
1.01E-01,78.173
1.01E-01,78.709
1.01E-01,79.212
1.02E-01,79.715
1.02E-01,80.218
1.03E-01,80.755
1.03E-01,81.258
1.03E-01,81.794
1.04E-01,82.297
1.04E-01,82.767
1.05E-01,83.304
1.05E-01,83.84
1.05E-01,84.377
1.06E-01,84.88
1.06E-01,85.349
1.07E-01,85.853
1.07E-01,86.356
1.07E-01,86.859
1.08E-01,87.33
1.08E-01,87.8
1.09E-01,88.303
1.09E-01,88.839
1.09E-01,89.409
1.10E-01,89.978
1.10E-01,90.581
1.11E-01,91.217
1.11E-01,91.854
1.11E-01,92.49
1.12E-01,93.026
1.12E-01,93.562
1.12E-01,94.131
1.13E-01,94.667
1.13E-01,95.203
1.14E-01,95.739
1.14E-01,96.275
1.14E-01,96.778
1.15E-01,97.281
1.15E-01,97.784
1.15E-01,98.353
1.16E-01,98.89
1.16E-01,99.426
1.17E-01,99.962
1.17E-01,100.465
1.17E-01,100.968
1.18E-01,101.47
1.18E-01,101.973
1.18E-01,102.443
1.19E-01,102.946
1.19E-01,103.416
1.20E-01,103.919
1.20E-01,104.422
1.20E-01,104.925
1.21E-01,105.428
1.21E-01,105.898
1.21E-01,106.401
1.22E-01,106.904
1.22E-01,107.407
1.23E-01,107.91
1.23E-01,108.413
1.23E-01,108.95
1.24E-01,109.486
1.24E-01,110.022
1.24E-01,110.592
1.25E-01,111.195
1.25E-01,111.831
1.25E-01,112.467
1.26E-01,113.004
1.26E-01,113.573
1.26E-01,114.076
1.27E-01,114.613
1.27E-01,115.149
1.28E-01,115.685
1.28E-01,116.188
1.28E-01,116.691
1.29E-01,117.16
1.29E-01,117.664
1.29E-01,118.233
1.30E-01,118.736
1.30E-01,119.239
1.30E-01,119.775
1.31E-01,120.278
1.31E-01,120.781
1.31E-01,121.317
1.32E-01,121.821
1.32E-01,122.324
1.32E-01,122.794
1.33E-01,123.297
1.33E-01,123.8
1.33E-01,124.303
1.34E-01,124.839
1.34E-01,125.375
1.35E-01,125.912
1.35E-01,126.448
1.35E-01,127.051
1.36E-01,127.687
1.36E-01,128.29
1.36E-01,128.893
1.37E-01,129.496
1.37E-01,129.965
1.37E-01,130.502
1.38E-01,131.072
1.38E-01,131.575
1.38E-01,132.144
1.39E-01,132.714
1.39E-01,133.217
1.39E-01,133.721
1.40E-01,134.257
1.40E-01,134.76
1.40E-01,135.297
1.41E-01,135.834
1.41E-01,136.403
1.41E-01,136.94
1.42E-01,137.542
1.42E-01,138.145
1.42E-01,138.748
1.43E-01,139.252
1.43E-01,139.755
1.43E-01,140.258
1.44E-01,140.794
1.44E-01,141.299
1.44E-01,141.835
1.45E-01,142.371
1.45E-01,142.907
1.45E-01,143.443
1.46E-01,143.979
1.46E-01,144.516
1.46E-01,145.019
1.47E-01,145.522
1.47E-01,145.991
1.47E-01,146.528
1.48E-01,147.031
1.48E-01,147.6
1.48E-01,148.103
1.49E-01,148.606
1.49E-01,149.143
1.49E-01,149.679
1.50E-01,150.249
1.50E-01,150.819
1.50E-01,151.322
1.50E-01,151.859
1.51E-01,152.395
1.51E-01,152.898
1.51E-01,153.434
1.52E-01,153.937
1.52E-01,154.473
1.52E-01,155.009
1.53E-01,155.545
1.53E-01,156.015
1.53E-01,156.551
1.54E-01,157.121
1.54E-01,157.691
1.54E-01,158.228
1.55E-01,158.765
1.55E-01,159.302
1.55E-01,159.805
1.56E-01,160.309
1.56E-01,160.812
1.56E-01,161.316
1.57E-01,161.852
1.57E-01,162.389
1.57E-01,162.892
1.58E-01,163.429
1.58E-01,163.933
1.58E-01,164.436
1.58E-01,164.94
1.59E-01,165.476
1.59E-01,165.979
1.59E-01,166.483
1.60E-01,166.953
1.60E-01,167.489
1.60E-01,168.026
1.61E-01,168.562
1.61E-01,169.098
1.61E-01,169.635
1.62E-01,170.205
1.62E-01,170.742
1.62E-01,171.278
1.63E-01,171.815
1.63E-01,172.385
1.63E-01,172.921
1.64E-01,173.458
1.64E-01,173.994
1.64E-01,174.63
1.64E-01,175.167
1.65E-01,175.736
1.65E-01,176.24
1.65E-01,176.842
1.66E-01,177.379
1.66E-01,177.915
1.66E-01,178.452
1.67E-01,178.922
1.67E-01,179.425
1.67E-01,179.928
1.68E-01,180.398
1.68E-01,180.868
1.68E-01,181.371
1.68E-01,181.874
1.69E-01,182.378
1.69E-01,182.881
1.69E-01,183.384
1.70E-01,183.92
1.70E-01,184.457
1.70E-01,184.96
1.71E-01,185.463
1.71E-01,185.966
1.71E-01,186.469
1.72E-01,187.038
1.72E-01,187.542
1.72E-01,188.078
1.72E-01,188.548
1.73E-01,189.051
1.73E-01,189.621
1.73E-01,190.124
1.74E-01,190.661
1.74E-01,191.23
1.74E-01,191.767
1.75E-01,192.303
1.75E-01,192.84
1.75E-01,193.342
1.75E-01,193.812
1.76E-01,194.315
1.76E-01,194.884
1.76E-01,195.42
1.77E-01,195.923
1.77E-01,196.426
1.77E-01,196.962
1.78E-01,197.499
1.78E-01,197.969
1.78E-01,198.538
1.78E-01,199.107
1.79E-01,199.577
1.79E-01,200.08
1.79E-01,200.617
1.80E-01,201.121
1.80E-01,201.658
1.80E-01,202.194
1.81E-01,202.697
1.81E-01,203.2
