Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
1,1.12,0.89,0.71,0.73,0.97,0.69,3.07,3.10
2,4.16,4.12,3.64,3.72,4.04,4.07,7.45,7.40
3,4.70,4.52,4.04,4.09,4.51,4.49,8.16,8.16
4,5.24,4.92,4.46,4.47,4.98,4.92,8.89,8.94
5,5.78,5.32,4.88,4.85,5.45,5.34,9.62,9.68
6,6.32,5.73,5.31,5.24,5.99,5.76,10.37,10.47
7,6.88,6.14,5.76,5.63,6.59,6.18,13.34,11.32
8,7.43,6.57,6.22,6.03,7.19,6.61,15.75,12.18
9,7.98,6.98,6.67,6.43,7.73,7.04,17.57,13.01
10,8.52,7.39,7.13,6.82,8.27,7.46,19.44,13.80
11,9.07,7.81,7.58,7.21,8.81,7.89,20.73,14.60
12,9.60,8.22,8.04,7.60,9.34,8.31,22.01,15.41
13,10.18,8.64,8.51,8.00,9.88,8.74,23.29,16.21
14,10.76,9.05,8.97,8.39,10.42,9.17,25.13,17.01
15,11.30,9.46,9.45,8.79,10.96,9.59,26.40,17.80
16,11.85,9.88,9.95,9.19,11.50,10.02,27.11,18.59
17,12.46,10.29,10.40,9.58,12.04,10.45,28.98,19.39
18,13.02,10.74,10.85,9.97,12.61,10.87,30.90,20.20
19,13.61,11.33,11.30,10.37,13.12,11.30,32.15,20.96
20,14.13,11.80,11.73,10.75,13.66,11.72,33.45,21.76
21,14.75,12.27,12.17,11.14,14.20,12.15,36.45,22.56
22,15.54,12.75,12.63,11.54,14.80,12.62,37.76,23.46
23,16.29,13.22,13.06,11.93,15.38,13.05,39.68,24.31
24,16.90,13.69,13.49,12.32,15.88,13.48,41.54,25.09
25,17.48,14.13,13.92,12.70,16.42,13.90,42.87,25.88
26,18.05,14.57,14.35,13.09,16.96,14.33,44.16,26.67
27,18.75,15.20,14.82,13.49,17.57,14.80,46.04,27.51
28,19.56,16.14,15.27,13.89,18.21,15.27,47.32,28.37
29,20.38,16.80,15.76,14.29,18.84,15.74,49.22,29.24
30,21.08,17.51,16.20,14.68,19.38,16.17,49.97,30.03
31,21.61,18.17,16.65,15.08,19.99,16.64,50.70,30.87
32,22.14,18.80,17.09,15.47,20.60,17.11,51.98,31.71
33,22.67,19.34,17.55,15.87,21.13,17.53,54.37,32.50
34,23.42,19.95,18.01,16.27,21.74,18.00,55.13,33.33
35,24.10,20.47,18.43,16.65,22.24,18.43,55.83,34.14
36,24.74,20.96,18.85,17.04,22.75,18.85,57.72,34.91
37,25.33,21.40,19.28,17.42,23.25,19.28,59.58,35.68
38,25.96,21.89,19.72,17.81,23.76,19.70,60.88,36.50
39,26.75,22.51,20.16,18.21,24.40,20.17,61.65,37.39
40,27.48,23.08,20.60,18.60,24.97,20.60,62.95,38.20
41,28.02,23.67,21.06,19.00,25.54,21.02,63.67,39.02
42,28.68,24.20,21.48,19.39,26.08,21.45,64.38,39.82
43,29.32,24.70,21.90,19.77,26.58,21.87,65.63,40.59
44,29.96,25.19,22.33,20.15,27.09,22.30,66.95,41.38
45,30.68,25.75,22.78,20.55,27.66,22.72,67.70,42.22
46,31.20,26.29,23.22,20.94,28.16,23.15,68.39,42.99
47,31.74,26.93,23.65,21.34,28.80,23.62,69.66,43.86
48,32.28,27.55,24.09,21.74,29.40,24.09,70.38,44.70
49,32.80,28.11,24.53,22.14,29.94,24.51,72.23,45.49
50,33.33,28.61,24.95,22.52,30.48,24.94,74.10,46.28
51,33.88,29.09,25.37,22.90,30.98,25.36,74.86,47.05
52,34.41,29.53,25.80,23.29,31.49,25.79,75.61,47.83
53,34.93,30.00,26.24,23.67,31.99,26.21,76.88,48.60
54,35.46,30.49,26.68,24.06,32.50,26.64,78.17,49.38
55,36.00,30.95,27.12,24.45,33.00,27.06,78.93,50.18
56,36.64,31.59,27.55,24.85,33.64,27.53,79.69,51.04
57,37.25,32.20,27.99,25.24,34.24,28.00,82.69,51.88
58,37.88,32.78,28.43,25.64,34.81,28.42,85.17,52.70
59,38.41,33.33,28.86,26.03,35.35,28.85,86.48,53.53
60,38.93,33.75,29.29,26.41,35.86,29.27,88.35,54.30
61,39.46,34.24,29.72,26.80,36.39,29.70,89.62,55.10
62,40.25,34.73,30.14,27.18,36.93,30.12,90.36,55.89
63,40.78,35.24,30.58,27.57,37.47,30.55,92.78,56.68
64,41.30,35.69,30.99,27.94,37.94,30.97,93.51,57.44
65,41.83,36.14,31.42,28.33,38.45,31.40,94.84,58.24
66,42.35,36.60,31.86,28.71,38.95,31.82,95.59,59.01
67,43.05,37.24,32.30,29.11,39.59,32.29,96.89,59.89
68,43.71,37.83,32.73,29.51,40.12,32.76,97.64,60.72
69,44.34,38.42,33.19,29.91,40.73,33.23,98.97,61.53
70,44.95,38.98,33.63,30.31,41.30,33.65,100.30,62.36
71,45.59,39.56,34.09,30.70,41.83,34.08,101.56,63.18
72,46.15,40.04,34.50,31.08,42.34,34.50,102.84,63.95
73,46.66,40.46,34.92,31.46,42.81,34.93,103.61,64.70
74,47.20,41.44,35.36,31.85,43.38,35.35,104.91,65.53
75,47.72,41.83,35.80,32.24,43.98,35.82,105.65,66.38
76,48.25,42.21,36.23,32.63,44.55,36.25,106.99,67.23
77,48.75,42.59,36.67,33.03,45.12,36.67,107.73,68.04
78,49.29,42.97,37.12,33.43,45.72,37.14,110.13,68.89
79,50.08,43.37,37.57,33.83,46.33,37.61,111.99,69.73
80,50.71,43.79,38.02,34.22,46.93,38.07,112.74,70.58
81,51.25,44.39,38.49,34.63,47.53,38.54,113.47,71.41
82,51.78,44.95,38.92,35.01,48.07,38.97,114.21,72.21
83,52.31,45.45,39.37,35.42,48.61,39.43,116.07,73.00
84,53.04,45.92,39.83,35.82,49.18,39.86,116.79,73.82
85,53.57,46.38,40.29,36.21,49.71,40.28,118.62,74.62
86,54.10,46.84,40.74,36.61,50.25,40.71,119.92,75.41
87,54.62,47.29,41.18,36.99,50.75,41.13,121.76,76.18
88,55.14,47.73,41.62,37.38,51.26,41.55,122.52,76.96
89,55.68,48.17,42.07,37.77,51.76,41.98,124.35,77.73
90,56.20,48.62,42.52,38.17,52.30,42.40,125.69,78.52
91,56.73,49.08,42.93,38.55,52.83,42.82,126.41,79.32
92,57.28,49.52,43.35,38.93,53.30,43.25,128.20,80.07
93,57.86,49.96,43.75,39.31,53.77,43.67,130.64,80.86
94,58.38,50.39,44.16,39.68,54.24,44.10,131.95,81.62
95,58.91,50.83,44.58,40.06,54.71,44.52,133.24,82.38
96,59.43,51.27,45.01,40.44,55.25,44.94,135.67,83.21
97,60.00,51.71,45.44,40.83,55.75,45.37,136.43,83.99
98,60.59,52.16,45.87,41.21,56.29,45.79,137.19,84.84
99,61.16,52.61,46.29,41.60,56.79,46.22,137.93,85.66
100,61.77,53.08,46.73,41.99,57.40,46.68,139.22,86.55
101,62.34,53.50,47.14,42.37,57.90,47.11,139.95,87.39
102,62.92,53.95,47.60,42.77,58.47,47.53,141.25,88.26
103,63.44,54.40,48.05,43.16,59.04,47.96,142.59,89.13
104,63.96,54.84,48.49,43.55,59.57,48.38,144.48,89.98
105,64.49,55.30,48.94,43.94,60.11,48.80,146.98,90.81
106,65.01,55.76,49.38,44.33,60.65,49.23,148.30,91.66
107,65.53,56.22,49.81,44.71,61.15,49.65,149.61,92.47
108,66.06,56.68,50.24,45.10,61.65,50.07,151.49,93.28
109,66.58,57.14,50.68,45.48,62.15,50.50,152.21,94.07
110,67.13,57.60,51.13,45.87,62.66,50.92,153.49,94.89
111,67.67,58.06,51.59,46.27,63.19,51.35,155.35,95.73
