#GpuGmresDiag515679
Simulated_Time(sec),CPU_Time(sec)
9.46E-04,25.356
1.81E-03,98.318
2.61E-03,109.58
3.36E-03,121.362
4.06E-03,133.095
4.73E-03,144.555
5.36E-03,155.992
5.97E-03,167.404
6.55E-03,178.686
7.11E-03,189.987
7.66E-03,201.287
8.19E-03,212.591
8.70E-03,223.947
9.21E-03,235.315
9.70E-03,246.653
1.02E-02,257.996
1.06E-02,269.534
1.11E-02,280.888
1.16E-02,292.878
1.20E-02,304.568
1.24E-02,316.119
1.29E-02,327.704
1.33E-02,340.24
1.37E-02,351.962
1.41E-02,363.245
1.45E-02,376.295
1.48E-02,389.026
1.52E-02,401.796
1.56E-02,414.038
1.59E-02,426.821
1.63E-02,440.068
1.67E-02,452.854
1.70E-02,465.384
1.73E-02,478.157
1.77E-02,493.314
1.80E-02,506.453
1.84E-02,519.93
1.87E-02,533.186
1.90E-02,546.039
1.93E-02,558.851
1.97E-02,572.281
2.00E-02,585.813
2.03E-02,599.403
2.06E-02,612.617
2.09E-02,625.475
2.12E-02,638.897
2.16E-02,652.157
2.19E-02,665.306
2.22E-02,678.558
2.25E-02,690.663
2.28E-02,704.084
2.31E-02,717.543
2.34E-02,730.784
2.36E-02,743.03
2.39E-02,755.973
2.42E-02,769.146
2.45E-02,782.588
2.48E-02,795.65
2.50E-02,808.707
2.53E-02,821.995
2.56E-02,834.767
2.59E-02,849.189
2.61E-02,861.962
2.64E-02,875.353
2.67E-02,888.393
2.69E-02,901.119
2.72E-02,914.855
2.75E-02,927.225
2.77E-02,941.038
2.80E-02,954.758
2.82E-02,967.506
2.85E-02,981.521
2.87E-02,992.993
2.90E-02,1006.35
2.92E-02,1018.97
2.95E-02,1031.837
2.97E-02,1045.56
3.00E-02,1058.919
3.02E-02,1071.49
3.05E-02,1085.912
3.07E-02,1099.334
3.10E-02,1112.453
3.12E-02,1125.172
3.14E-02,1138.605
3.17E-02,1151.668
3.19E-02,1165.072
3.21E-02,1178.358
3.24E-02,1192.431
3.26E-02,1205.86
3.28E-02,1219.528
3.31E-02,1233.134
3.33E-02,1248.467
3.35E-02,1262.757
3.38E-02,1275.925
3.40E-02,1289.901
3.42E-02,1302.739
3.44E-02,1315.248
3.46E-02,1329.432
3.49E-02,1341.191
3.51E-02,1354.367
3.53E-02,1368.105
3.55E-02,1381.336
3.57E-02,1395.639
3.60E-02,1408.657
3.62E-02,1421.902
3.64E-02,1435.105
3.66E-02,1447.857
3.68E-02,1461.21
3.70E-02,1475.054
3.73E-02,1487.541
3.75E-02,1500.58
3.77E-02,1513.602
3.79E-02,1526.14
3.81E-02,1539.523
3.83E-02,1554.021
3.85E-02,1567.105
3.87E-02,1580.0
3.89E-02,1593.132
3.91E-02,1605.69
3.93E-02,1618.688
3.95E-02,1632.545
3.97E-02,1645.543
3.99E-02,1658.081
4.02E-02,1671.342
4.04E-02,1684.076
4.06E-02,1696.361
4.08E-02,1708.598
4.10E-02,1723.072
4.12E-02,1736.6
4.14E-02,1748.567
4.15E-02,1761.177
4.17E-02,1774.926
4.19E-02,1787.638
4.21E-02,1800.17
4.23E-02,1813.562
4.25E-02,1827.563
4.27E-02,1840.42
4.29E-02,1851.805
4.31E-02,1864.495
4.33E-02,1877.183
4.35E-02,1890.076
4.37E-02,1902.312
4.39E-02,1914.375
4.41E-02,1928.422
4.42E-02,1941.283
4.44E-02,1952.358
4.46E-02,1963.748
4.48E-02,1976.766
4.50E-02,1989.778
4.52E-02,2002.47
4.54E-02,2014.674
4.56E-02,2026.38
4.57E-02,2040.097
4.59E-02,2053.474
4.61E-02,2064.847
4.63E-02,2077.527
4.65E-02,2090.222
4.67E-02,2104.262
4.68E-02,2116.973
4.70E-02,2129.828
4.72E-02,2142.408
4.74E-02,2156.594
4.76E-02,2169.77
4.78E-02,2183.761
4.79E-02,2197.569
4.81E-02,2211.565
4.83E-02,2225.057
4.85E-02,2237.399
4.87E-02,2249.614
4.88E-02,2261.862
4.90E-02,2274.9
4.92E-02,2288.386
4.94E-02,2300.423
4.95E-02,2313.439
4.97E-02,2326.791
4.99E-02,2339.278
5.01E-02,2351.47
5.02E-02,2363.141
5.04E-02,2375.01
5.06E-02,2386.827
5.07E-02,2399.096
5.09E-02,2411.258
5.11E-02,2423.771
5.13E-02,2435.334
5.14E-02,2447.859
5.16E-02,2460.171
5.18E-02,2471.716
5.20E-02,2483.385
5.21E-02,2495.586
5.23E-02,2507.07
5.25E-02,2518.801
5.26E-02,2529.796
5.28E-02,2540.978
5.30E-02,2552.955
5.31E-02,2565.742
5.33E-02,2579.185
5.35E-02,2591.708
5.36E-02,2603.84
5.38E-02,2615.972
5.40E-02,2627.112
5.41E-02,2639.741
5.43E-02,2652.198
5.45E-02,2664.029
5.46E-02,2675.984
5.48E-02,2688.918
5.50E-02,2702.522
5.51E-02,2715.129
5.53E-02,2727.571
5.55E-02,2740.007
5.56E-02,2751.454
5.58E-02,2764.088
5.60E-02,2776.526
5.61E-02,2788.806
5.63E-02,2801.071
5.64E-02,2813.503
5.66E-02,2826.279
5.68E-02,2839.075
5.69E-02,2852.646
5.71E-02,2865.727
5.72E-02,2878.807
5.74E-02,2891.903
5.76E-02,2904.834
5.77E-02,2918.485
5.79E-02,2931.397
5.80E-02,2945.054
5.82E-02,2957.14
5.84E-02,2969.579
5.85E-02,2982.485
5.87E-02,2995.916
5.88E-02,3009.848
5.90E-02,3024.163
5.92E-02,3037.656
5.93E-02,3050.569
5.95E-02,3063.828
5.96E-02,3075.906
5.98E-02,3088.319
5.99E-02,3100.437
6.01E-02,3112.657
6.03E-02,3123.989
6.04E-02,3136.128
6.06E-02,3149.785
6.07E-02,3161.7
6.09E-02,3174.768
6.10E-02,3187.61
6.12E-02,3199.52
6.13E-02,3211.359
6.15E-02,3223.22
6.17E-02,3234.501
6.18E-02,3246.049
6.20E-02,3257.463
6.21E-02,3269.032
6.23E-02,3280.127
6.24E-02,3291.103
6.26E-02,3304.489
6.27E-02,3316.948
6.29E-02,3329.355
6.30E-02,3340.667
6.32E-02,3353.549
6.33E-02,3366.779
6.35E-02,3379.509
6.36E-02,3391.643
6.38E-02,3403.724
6.39E-02,3415.967
6.41E-02,3427.872
6.42E-02,3439.292
6.44E-02,3450.905
6.45E-02,3462.975
6.47E-02,3476.524
6.48E-02,3488.142
6.50E-02,3501.686
6.51E-02,3514.731
6.53E-02,3527.452
6.54E-02,3540.047
6.56E-02,3552.931
6.57E-02,3566.142
6.59E-02,3579.345
6.60E-02,3591.775
6.62E-02,3603.014
6.63E-02,3615.727
6.65E-02,3629.919
6.66E-02,3643.363
6.68E-02,3657.277
6.69E-02,3669.758
6.71E-02,3683.457
6.72E-02,3696.22
6.74E-02,3708.605
6.75E-02,3720.806
6.76E-02,3733.677
6.78E-02,3744.939
6.79E-02,3756.172
6.81E-02,3768.001
6.82E-02,3781.03
6.84E-02,3794.843
6.85E-02,3808.382
6.87E-02,3820.842
6.88E-02,3833.221
6.90E-02,3845.545
6.91E-02,3858.297
6.93E-02,3871.505
6.94E-02,3884.078
6.95E-02,3897.075
6.97E-02,3909.46
6.98E-02,3922.031
7.00E-02,3934.407
7.01E-02,3946.568
7.03E-02,3958.656
7.04E-02,3970.25
7.06E-02,3981.489
7.07E-02,3993.85
7.08E-02,4006.049
7.10E-02,4017.739
7.11E-02,4028.958
7.13E-02,4040.36
7.14E-02,4052.446
7.15E-02,4066.004
7.17E-02,4077.381
7.18E-02,4089.951
7.20E-02,4102.487
7.21E-02,4114.562
7.23E-02,4127.295
7.24E-02,4139.989
7.25E-02,4153.005
7.27E-02,4165.04
7.28E-02,4176.747
7.30E-02,4189.107
7.31E-02,4201.475
7.32E-02,4213.895
7.34E-02,4226.584
7.35E-02,4238.991
7.37E-02,4252.012
7.38E-02,4265.363
7.40E-02,4278.068
7.41E-02,4291.094
7.42E-02,4304.6
7.44E-02,4317.365
7.45E-02,4330.882
7.47E-02,4344.154
7.48E-02,4357.336
7.49E-02,4370.389
7.51E-02,4383.42
7.52E-02,4396.82
7.53E-02,4409.702
7.55E-02,4422.502
7.56E-02,4434.783
7.58E-02,4445.758
7.59E-02,4458.445
7.60E-02,4470.848
7.62E-02,4483.203
7.63E-02,4496.797
7.65E-02,4510.537
7.66E-02,4524.184
7.67E-02,4537.117
7.69E-02,4549.974
7.70E-02,4562.595
7.71E-02,4576.145
7.73E-02,4588.838
7.74E-02,4601.199
7.76E-02,4613.557
7.77E-02,4625.798
7.78E-02,4637.596
7.80E-02,4649.34
7.81E-02,4662.089
7.82E-02,4673.783
7.84E-02,4686.374
7.85E-02,4697.293
7.86E-02,4709.325
7.88E-02,4721.901
7.89E-02,4734.91
7.90E-02,4747.445
7.92E-02,4760.012
7.93E-02,4772.464
7.95E-02,4784.055
7.96E-02,4796.169
7.97E-02,4809.19
7.99E-02,4821.782
8.00E-02,4834.813
8.01E-02,4847.358
8.03E-02,4860.074
8.04E-02,4873.263
8.05E-02,4885.325
8.07E-02,4898.893
8.08E-02,4912.329
8.09E-02,4925.046
