Simulated_Time,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
0.00100,5.984,4.867,3.901,4.114,7.473,4.496,4.551,5.986
0.05030,272.259,199.127,220.764,187.955,307.727,218.474,202.633,232.145
0.10000,834.274,639.347,678.943,578.814,989.892,680.615,625.138,737.466
0.15000,1566.412,1276.946,1277.498,1092.149,1905.224,1284.305,1188.299,1419.808
0.20000,2422.414,1999.351,1964.67,1682.086,2943.544,1977.193,1836.143,2199.218
0.25000,3401.265,2809.705,2719.491,2339.115,4003.205,2742.816,2561.922,3083.516
0.30000,5509.487,4425.688,4280.843,3741.431,5964.712,4315.132,4164.416,4953.016
0.35000,7076.49,5662.141,5481.969,4818.012,7449.521,5514.001,5388.11,6334.346
0.40000,8319.891,6635.733,6406.818,5647.597,8557.044,6435.017,6344.917,7416.186
0.45000,9306.876,7422.294,7199.589,6360.206,9533.634,7235.134,7167.823,8368.62
0.50000,10297.733,8186.402,8002.921,7083.167,10525.097,8052.99,7997.8,9301.6
