#GpuCgDiag515679
Simulated_Time(sec),CPU_Time(sec)
9.46E-04,16.18
1.81E-03,90.605
2.61E-03,100.561
3.36E-03,110.427
4.06E-03,120.411
4.73E-03,130.312
5.36E-03,140.188
5.97E-03,150.122
6.55E-03,160.004
7.11E-03,169.938
7.66E-03,179.844
8.19E-03,189.751
8.70E-03,199.676
9.21E-03,209.616
9.70E-03,219.65
1.02E-02,229.762
1.06E-02,239.725
1.11E-02,249.772
1.16E-02,259.734
1.20E-02,269.712
1.24E-02,279.712
1.29E-02,289.703
1.33E-02,299.697
1.37E-02,309.707
1.41E-02,319.81
1.45E-02,330.051
1.48E-02,340.066
1.52E-02,350.18
1.56E-02,360.202
1.59E-02,375.972
1.63E-02,386.026
1.67E-02,401.745
1.70E-02,411.795
1.73E-02,421.972
1.77E-02,437.92
1.80E-02,447.988
1.84E-02,463.789
1.87E-02,473.889
1.90E-02,483.936
1.93E-02,499.719
1.97E-02,515.524
2.00E-02,531.349
2.03E-02,547.108
2.06E-02,557.168
2.09E-02,567.23
2.12E-02,577.311
2.16E-02,587.346
2.19E-02,603.118
2.22E-02,613.169
2.25E-02,623.232
2.28E-02,638.999
2.31E-02,649.05
2.34E-02,664.757
2.36E-02,674.856
2.39E-02,684.886
2.42E-02,700.803
2.45E-02,716.5
2.48E-02,726.639
2.50E-02,742.487
2.53E-02,752.565
2.56E-02,762.545
2.59E-02,778.306
2.61E-02,788.296
2.64E-02,804.008
2.67E-02,819.764
2.69E-02,829.817
2.72E-02,839.815
2.75E-02,849.858
2.77E-02,865.894
2.80E-02,882.32
2.82E-02,892.298
2.85E-02,907.962
2.87E-02,917.946
2.90E-02,933.649
2.92E-02,943.66
2.95E-02,959.519
2.97E-02,969.541
3.00E-02,979.53
3.02E-02,995.114
3.05E-02,1010.888
3.07E-02,1020.905
3.10E-02,1036.539
3.12E-02,1046.607
3.14E-02,1062.438
3.17E-02,1072.434
3.19E-02,1082.432
3.21E-02,1092.458
3.24E-02,1102.499
3.26E-02,1112.541
