Simulated_Time,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
0.00100,17.458,69.665,7.822,7.143,15.816,8.392,8.431,8.754
0.05010,674.866,697.727,528.645,433.332,803.612,502.608,565.097,482.441
0.10000,1965.59,1755.441,1587.632,1306.055,2451.61,1518.2,1491.732,1499.529
0.15000,3599.641,3153.867,2964.597,2442.975,4663.006,2861.196,2723.594,2841.348
0.20000,5427.475,4725.025,4502.708,3731.216,6968.353,4347.818,4036.979,4376.583
0.25000,7638.458,6679.984,6257.898,5203.271,9482.706,6038.407,5487.964,6096.73
0.30000,11093.942,9401.201,8945.309,7517.245,12967.135,8657.467,7799.501,8738.457
0.35000,14054.526,11886.173,11328.842,9558.812,16010.842,10918.942,9814.478,11031.062
0.40000,16902.801,14131.536,13422.71,11384.863,18573.232,12937.667,11632.112,13121.233
0.45000,18956.853,15834.188,15151.98,12895.284,20688.95,14618.71,13168.986,14888.737
0.50000,20932.395,17419.177,16855.251,14366.029,22826.486,16255.329,14639.494,16572.703
