#CpuCgDiag19684
Simulated_Time(sec),CPU_Time(sec)
1.00E-03,0.71
2.20E-03,3.644
3.64E-03,4.043
5.37E-03,4.459
7.44E-03,4.879
9.93E-03,5.312
1.26E-02,5.761
1.48E-02,6.217
1.67E-02,6.67
1.85E-02,7.127
2.02E-02,7.584
2.17E-02,8.042
2.32E-02,8.505
2.46E-02,8.974
2.59E-02,9.45
2.72E-02,9.95
2.84E-02,10.399
2.96E-02,10.85
3.08E-02,11.3
3.19E-02,11.728
3.30E-02,12.168
3.41E-02,12.628
3.51E-02,13.063
3.61E-02,13.486
3.70E-02,13.915
3.79E-02,14.35
3.88E-02,14.817
3.97E-02,15.268
4.06E-02,15.761
4.14E-02,16.197
4.23E-02,16.647
4.31E-02,17.092
4.39E-02,17.549
4.47E-02,18.006
4.55E-02,18.429
4.63E-02,18.854
4.71E-02,19.282
4.78E-02,19.718
4.86E-02,20.156
4.93E-02,20.599
5.00E-02,21.056
5.07E-02,21.48
5.14E-02,21.902
5.20E-02,22.328
5.27E-02,22.782
5.34E-02,23.216
5.41E-02,23.654
5.48E-02,24.094
5.55E-02,24.533
5.62E-02,24.954
5.68E-02,25.374
5.75E-02,25.804
5.81E-02,26.238
5.88E-02,26.675
5.94E-02,27.115
6.01E-02,27.552
6.07E-02,27.986
6.13E-02,28.43
6.19E-02,28.857
6.25E-02,29.285
6.31E-02,29.716
6.37E-02,30.144
6.43E-02,30.576
6.49E-02,30.985
6.55E-02,31.421
6.60E-02,31.859
6.66E-02,32.297
6.71E-02,32.734
6.77E-02,33.192
6.82E-02,33.63
6.88E-02,34.088
6.93E-02,34.501
6.99E-02,34.922
7.04E-02,35.362
7.10E-02,35.799
7.15E-02,36.23
7.20E-02,36.673
7.26E-02,37.123
7.31E-02,37.571
7.36E-02,38.018
7.42E-02,38.485
7.47E-02,38.915
7.52E-02,39.367
7.57E-02,39.832
7.63E-02,40.292
7.68E-02,40.738
7.73E-02,41.177
7.78E-02,41.622
7.83E-02,42.066
7.88E-02,42.516
7.93E-02,42.933
7.98E-02,43.346
8.03E-02,43.754
8.08E-02,44.163
8.13E-02,44.583
8.17E-02,45.014
8.22E-02,45.443
8.27E-02,45.866
8.32E-02,46.292
8.37E-02,46.728
8.41E-02,47.141
8.46E-02,47.596
8.51E-02,48.045
8.55E-02,48.492
8.60E-02,48.94
8.65E-02,49.376
8.69E-02,49.808
8.74E-02,50.242
8.79E-02,50.675
8.83E-02,51.131
8.88E-02,51.585
8.93E-02,52.023
8.97E-02,52.438
9.02E-02,52.865
9.06E-02,53.305
9.11E-02,53.743
9.15E-02,54.19
9.20E-02,54.62
9.24E-02,55.066
9.28E-02,55.516
9.33E-02,55.968
9.37E-02,56.408
9.42E-02,56.858
9.46E-02,57.288
9.50E-02,57.736
9.54E-02,58.17
9.59E-02,58.609
9.63E-02,59.052
9.67E-02,59.489
9.72E-02,59.927
9.76E-02,60.364
9.80E-02,60.803
9.84E-02,61.24
9.88E-02,61.659
9.93E-02,62.099
9.97E-02,62.532
1.00E-01,62.96
1.01E-01,63.391
1.01E-01,63.822
1.01E-01,64.253
1.02E-01,64.686
1.02E-01,65.121
1.03E-01,65.567
1.03E-01,66.0
1.03E-01,66.414
1.04E-01,66.838
1.04E-01,67.256
1.05E-01,67.678
1.05E-01,68.096
1.05E-01,68.511
1.06E-01,68.925
1.06E-01,69.326
1.07E-01,69.739
1.07E-01,70.151
1.07E-01,70.564
1.08E-01,70.979
1.08E-01,71.395
1.09E-01,71.814
1.09E-01,72.23
1.09E-01,72.663
1.10E-01,73.095
1.10E-01,73.538
1.11E-01,73.988
1.11E-01,74.448
1.11E-01,74.911
1.12E-01,75.348
1.12E-01,75.78
1.12E-01,76.2
1.13E-01,76.61
1.13E-01,77.037
1.14E-01,77.466
1.14E-01,77.888
1.14E-01,78.301
1.15E-01,78.713
1.15E-01,79.14
1.15E-01,79.595
1.16E-01,80.017
1.16E-01,80.484
1.17E-01,80.977
1.17E-01,81.422
1.17E-01,81.845
1.18E-01,82.277
1.18E-01,82.703
1.18E-01,83.105
1.19E-01,83.576
1.19E-01,84.004
1.20E-01,84.416
1.20E-01,84.83
1.20E-01,85.247
1.21E-01,85.665
1.21E-01,86.074
1.21E-01,86.489
1.22E-01,86.903
1.22E-01,87.325
1.23E-01,87.747
1.23E-01,88.162
1.23E-01,88.589
1.24E-01,89.007
1.24E-01,89.443
1.24E-01,89.879
1.25E-01,90.317
1.25E-01,90.771
1.25E-01,91.233
1.26E-01,91.665
1.26E-01,92.097
1.26E-01,92.529
1.27E-01,92.948
1.27E-01,93.361
1.28E-01,93.775
1.28E-01,94.189
1.28E-01,94.596
1.29E-01,95.0
1.29E-01,95.425
1.29E-01,95.848
1.30E-01,96.262
1.30E-01,96.7
1.30E-01,97.124
1.31E-01,97.536
1.31E-01,97.95
1.31E-01,98.37
1.32E-01,98.785
1.32E-01,99.199
1.32E-01,99.602
1.33E-01,100.016
1.33E-01,100.422
1.33E-01,100.837
1.34E-01,101.279
1.34E-01,101.748
1.35E-01,102.175
1.35E-01,102.639
1.35E-01,103.377
1.36E-01,103.829
1.36E-01,104.29
1.36E-01,104.76
1.37E-01,105.196
1.37E-01,105.695
1.37E-01,106.182
1.38E-01,106.638
1.38E-01,107.072
1.38E-01,107.563
1.39E-01,108.057
1.39E-01,108.49
1.39E-01,108.911
1.40E-01,109.324
1.40E-01,109.755
1.40E-01,110.177
1.41E-01,110.627
1.41E-01,111.081
1.41E-01,111.513
1.42E-01,111.959
1.42E-01,112.419
1.42E-01,112.881
1.43E-01,113.316
1.43E-01,113.729
1.43E-01,114.142
1.44E-01,114.562
1.44E-01,115.0
1.44E-01,115.431
1.45E-01,115.852
1.45E-01,116.266
1.45E-01,116.681
1.46E-01,117.089
1.46E-01,117.502
1.46E-01,117.91
1.47E-01,118.321
1.47E-01,118.733
1.47E-01,119.156
1.48E-01,119.589
1.48E-01,120.031
1.48E-01,120.44
1.49E-01,120.845
1.49E-01,121.266
1.49E-01,121.688
1.50E-01,122.123
1.50E-01,122.545
1.50E-01,122.95
1.50E-01,123.361
1.51E-01,123.773
1.51E-01,124.183
1.51E-01,124.604
1.52E-01,125.028
1.52E-01,125.496
1.52E-01,125.948
1.53E-01,126.369
1.53E-01,126.777
1.53E-01,127.199
1.54E-01,127.716
1.54E-01,128.139
1.54E-01,128.555
1.55E-01,128.997
1.55E-01,129.458
1.55E-01,129.888
1.56E-01,130.305
1.56E-01,130.738
1.56E-01,131.206
1.57E-01,131.684
1.57E-01,132.119
1.57E-01,132.534
1.58E-01,132.973
1.58E-01,133.491
1.58E-01,133.897
1.58E-01,134.334
1.59E-01,134.747
1.59E-01,135.159
1.59E-01,135.572
1.60E-01,135.978
1.60E-01,136.394
1.60E-01,136.808
1.61E-01,137.215
1.61E-01,137.623
1.61E-01,138.062
1.62E-01,138.501
1.62E-01,138.961
1.62E-01,139.377
1.63E-01,139.807
1.63E-01,140.225
1.63E-01,140.67
1.64E-01,141.096
1.64E-01,141.515
1.64E-01,142.001
1.64E-01,142.451
1.65E-01,142.863
1.65E-01,143.297
1.65E-01,143.731
1.66E-01,144.152
1.66E-01,144.583
1.66E-01,144.997
1.67E-01,145.405
1.67E-01,145.816
1.67E-01,146.227
1.68E-01,146.632
1.68E-01,147.026
1.68E-01,147.431
1.68E-01,147.837
1.69E-01,148.243
1.69E-01,148.65
1.69E-01,149.061
1.70E-01,149.475
1.70E-01,149.903
1.70E-01,150.31
1.71E-01,150.719
1.71E-01,151.132
1.71E-01,151.55
1.72E-01,152.019
1.72E-01,152.435
1.72E-01,152.851
1.72E-01,153.254
1.73E-01,153.699
1.73E-01,154.178
1.73E-01,154.605
1.74E-01,155.048
1.74E-01,155.469
1.74E-01,155.881
1.75E-01,156.304
1.75E-01,156.72
1.75E-01,157.128
1.75E-01,157.53
1.76E-01,157.945
1.76E-01,158.406
1.76E-01,158.872
1.77E-01,159.316
1.77E-01,159.731
1.77E-01,160.14
1.78E-01,160.55
1.78E-01,160.952
1.78E-01,161.437
1.78E-01,161.953
1.79E-01,162.379
1.79E-01,162.788
1.79E-01,163.204
1.80E-01,163.62
1.80E-01,164.051
1.80E-01,164.472
1.81E-01,164.891
1.81E-01,165.305
1.81E-01,165.716
1.81E-01,166.13
1.82E-01,166.546
1.82E-01,166.991
1.82E-01,167.461
1.83E-01,167.883
1.83E-01,168.305
1.83E-01,168.757
1.84E-01,169.194
1.84E-01,169.645
1.84E-01,170.057
1.84E-01,170.472
1.85E-01,170.887
1.85E-01,171.303
1.85E-01,171.737
1.86E-01,172.174
1.86E-01,172.622
1.86E-01,173.053
1.87E-01,173.535
1.87E-01,173.969
1.87E-01,174.383
1.87E-01,174.796
1.88E-01,175.206
1.88E-01,175.616
1.88E-01,176.028
1.89E-01,176.436
1.89E-01,176.84
1.89E-01,177.257
1.89E-01,177.672
1.90E-01,178.085
1.90E-01,178.508
1.90E-01,178.939
1.91E-01,179.368
1.91E-01,179.802
1.91E-01,180.241
1.92E-01,180.666
1.92E-01,181.129
1.92E-01,181.541
1.92E-01,181.972
1.93E-01,182.411
1.93E-01,182.841
1.93E-01,183.256
1.94E-01,183.671
1.94E-01,184.099
1.94E-01,184.582
1.94E-01,185.016
1.95E-01,185.433
1.95E-01,185.846
1.95E-01,186.259
1.96E-01,186.669
1.96E-01,187.078
1.96E-01,187.487
1.96E-01,187.889
1.97E-01,188.295
1.97E-01,188.705
1.97E-01,189.119
1.98E-01,189.575
1.98E-01,189.998
1.98E-01,190.41
1.98E-01,190.813
1.99E-01,191.22
1.99E-01,191.628
1.99E-01,192.039
2.00E-01,192.459
2.00E-01,192.888
2.00E-01,193.31
2.00E-01,193.751
2.01E-01,194.198
2.01E-01,194.626
2.01E-01,195.026
2.02E-01,195.436
2.02E-01,195.847
2.02E-01,196.269
2.02E-01,196.684
2.03E-01,197.13
2.03E-01,197.585
2.03E-01,197.998
2.04E-01,198.41
2.04E-01,198.821
2.04E-01,199.23
2.04E-01,199.655
2.05E-01,200.083
2.05E-01,200.493
2.05E-01,200.904
2.06E-01,201.311
2.06E-01,201.718
2.06E-01,202.127
2.06E-01,202.537
2.07E-01,202.948
2.07E-01,203.359
2.07E-01,203.776
2.08E-01,204.2
2.08E-01,204.7
2.08E-01,205.111
2.08E-01,205.524
2.09E-01,205.928
2.09E-01,206.339
2.09E-01,206.747
2.10E-01,207.156
2.10E-01,207.568
2.10E-01,207.964
2.10E-01,208.364
2.11E-01,208.783
2.11E-01,209.216
2.11E-01,209.626
2.12E-01,210.034
2.12E-01,210.435
2.12E-01,210.845
2.12E-01,211.254
2.13E-01,211.686
2.13E-01,212.12
2.13E-01,212.556
2.14E-01,213.022
2.14E-01,213.461
2.14E-01,213.895
2.14E-01,214.325
2.15E-01,214.742
2.15E-01,215.159
2.15E-01,215.567
2.15E-01,215.982
2.16E-01,216.398
2.16E-01,216.838
2.16E-01,217.275
2.17E-01,217.684
2.17E-01,218.096
2.17E-01,218.515
2.17E-01,218.985
2.18E-01,219.421
2.18E-01,219.828
2.18E-01,220.235
2.19E-01,220.647
2.19E-01,221.05
2.19E-01,221.479
2.19E-01,221.894
2.20E-01,222.306
2.20E-01,222.716
2.20E-01,223.12
2.20E-01,223.55
2.21E-01,223.996
2.21E-01,224.409
2.21E-01,224.82
2.22E-01,225.239
2.22E-01,225.649
2.22E-01,226.059
2.22E-01,226.47
2.23E-01,226.879
2.23E-01,227.287
2.23E-01,227.694
2.23E-01,228.1
2.24E-01,228.506
2.24E-01,228.961
2.24E-01,229.437
2.25E-01,229.839
2.25E-01,230.249
2.25E-01,230.658
2.25E-01,231.074
2.26E-01,231.477
2.26E-01,231.868
2.26E-01,232.271
2.27E-01,232.676
2.27E-01,233.084
2.27E-01,233.491
2.27E-01,233.906
2.28E-01,234.32
2.28E-01,234.731
2.28E-01,235.149
2.28E-01,235.567
2.29E-01,235.969
2.29E-01,236.383
2.29E-01,236.796
2.30E-01,237.212
2.30E-01,237.639
2.30E-01,238.073
2.30E-01,238.482
2.31E-01,238.889
2.31E-01,239.305
2.31E-01,239.712
2.31E-01,240.121
2.32E-01,240.534
2.32E-01,240.951
2.32E-01,241.406
2.33E-01,241.868
2.33E-01,242.27
2.33E-01,242.686
2.33E-01,243.114
2.34E-01,243.519
2.34E-01,243.926
2.34E-01,244.344
2.34E-01,244.762
2.35E-01,245.151
2.35E-01,245.572
2.35E-01,245.992
2.35E-01,246.406
2.36E-01,246.816
2.36E-01,247.224
2.36E-01,247.632
2.36E-01,248.04
2.37E-01,248.447
2.37E-01,248.855
2.37E-01,249.263
