Simulated_Time,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
0.00095,37.353,35.646,24.397,23.886,78.36,33.522,16.18,25.356
0.05010,3348.056,2643.079,3055.017,2323.201,5142.988,2851.417,2075.597,2351.47
0.10000,9776.024,8969.548,8470.907,6737.119,14602.808,8268.343,5752.934,6850.782
0.15000,17634.636,16035.873,15314.876,12310.567,27109.177,15050.846,10442.21,12689.233
0.20000,26499.876,24605.931,22987.137,18605.652,40544.234,22611.473,15721.629,19196.356
0.25000,36855.02,33934.894,31524.932,25661.529,53658.469,30788.176,21617.2,26165.398
0.30000,54215.343,47927.007,45616.718,37504.235,72503.276,44036.363,32037.877,37853.824
0.35000,69644.822,61073.995,58553.546,48336.774,90142.067,56132.867,41344.663,48443.464
0.40000,83387.981,72975.449,69674.469,57847.211,103935.968,66604.206,49846.861,57908.34
0.45000,94458.658,83637.206,79757.328,66311.522,117241.594,75947.384,57277.542,66276.581
0.50000,104918.62,92914.071,89667.979,74563.288,131163.856,85168.166,64417.866,74453.915
