Mesh_Sizes,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
243165,11.1483197222,7.7392997222,6.6806475,7.3947463889
515679,36.4418519444,23.6620922222,17.8938516667,20.6850272222
1101351,128.1385705556,76.5207227778,56.283895,62.2742163889
