#CpuCgLusgs19684
Simulated_Time(sec),CPU_Time(sec)
1.00E-03,0.729
2.20E-03,3.719
3.64E-03,4.093
5.37E-03,4.473
7.44E-03,4.853
9.93E-03,5.242
1.26E-02,5.632
1.48E-02,6.025
1.67E-02,6.425
1.85E-02,6.818
2.02E-02,7.209
2.17E-02,7.601
2.32E-02,7.995
2.46E-02,8.39
2.59E-02,8.787
2.72E-02,9.186
2.84E-02,9.578
2.96E-02,9.974
3.08E-02,10.368
3.19E-02,10.752
3.30E-02,11.141
3.41E-02,11.54
3.51E-02,11.932
3.61E-02,12.315
3.70E-02,12.7
3.79E-02,13.089
3.88E-02,13.485
3.97E-02,13.887
4.06E-02,14.294
4.14E-02,14.681
4.23E-02,15.075
4.31E-02,15.474
4.39E-02,15.87
4.47E-02,16.272
4.55E-02,16.653
4.63E-02,17.037
4.71E-02,17.422
4.78E-02,17.81
4.86E-02,18.206
4.93E-02,18.602
5.00E-02,19.0
5.07E-02,19.385
5.14E-02,19.767
5.20E-02,20.151
5.27E-02,20.546
5.34E-02,20.938
5.41E-02,21.336
5.48E-02,21.742
5.55E-02,22.136
5.62E-02,22.519
5.68E-02,22.902
5.75E-02,23.288
5.81E-02,23.672
5.88E-02,24.058
5.94E-02,24.452
6.01E-02,24.852
6.07E-02,25.244
6.13E-02,25.641
6.19E-02,26.029
6.25E-02,26.413
6.31E-02,26.799
6.37E-02,27.183
6.43E-02,27.567
6.49E-02,27.944
6.55E-02,28.327
6.60E-02,28.711
6.66E-02,29.112
6.71E-02,29.508
6.77E-02,29.907
6.82E-02,30.308
6.88E-02,30.699
6.93E-02,31.079
6.99E-02,31.456
7.04E-02,31.85
7.10E-02,32.24
7.15E-02,32.633
7.20E-02,33.027
7.26E-02,33.426
7.31E-02,33.826
7.36E-02,34.224
7.42E-02,34.627
7.47E-02,35.014
7.52E-02,35.421
7.57E-02,35.82
7.63E-02,36.213
7.68E-02,36.607
7.73E-02,36.991
7.78E-02,37.376
7.83E-02,37.771
7.88E-02,38.168
7.93E-02,38.551
7.98E-02,38.929
8.03E-02,39.306
8.08E-02,39.682
8.13E-02,40.058
8.17E-02,40.444
8.22E-02,40.828
8.27E-02,41.211
8.32E-02,41.596
8.37E-02,41.987
8.41E-02,42.367
8.46E-02,42.765
8.51E-02,43.157
8.55E-02,43.554
8.60E-02,43.943
8.65E-02,44.329
8.69E-02,44.712
8.74E-02,45.096
8.79E-02,45.479
8.83E-02,45.868
8.88E-02,46.265
8.93E-02,46.66
8.97E-02,47.04
9.02E-02,47.42
9.06E-02,47.798
9.11E-02,48.178
9.15E-02,48.558
9.20E-02,48.942
9.24E-02,49.332
9.28E-02,49.726
9.33E-02,50.125
9.37E-02,50.515
9.42E-02,50.916
9.46E-02,51.304
9.50E-02,51.696
9.54E-02,52.089
9.59E-02,52.475
9.63E-02,52.865
9.67E-02,53.255
9.72E-02,53.64
9.76E-02,54.027
9.80E-02,54.415
9.84E-02,54.804
9.88E-02,55.185
9.93E-02,55.57
9.97E-02,55.951
1.00E-01,56.333
1.01E-01,56.716
1.01E-01,57.1
1.01E-01,57.484
1.02E-01,57.867
1.02E-01,58.254
1.03E-01,58.648
1.03E-01,59.036
1.03E-01,59.412
1.04E-01,59.789
1.04E-01,60.164
1.05E-01,60.547
1.05E-01,60.927
1.05E-01,61.304
1.06E-01,61.683
1.06E-01,62.055
1.07E-01,62.434
1.07E-01,62.811
1.07E-01,63.185
1.08E-01,63.56
1.08E-01,63.935
1.09E-01,64.311
1.09E-01,64.687
1.09E-01,65.064
1.10E-01,65.446
1.10E-01,65.837
1.11E-01,66.236
1.11E-01,66.641
1.11E-01,67.048
1.12E-01,67.434
1.12E-01,67.819
1.12E-01,68.204
1.13E-01,68.58
1.13E-01,68.966
1.14E-01,69.347
1.14E-01,69.727
1.14E-01,70.107
1.15E-01,70.485
1.15E-01,70.866
1.15E-01,71.254
1.16E-01,71.636
1.16E-01,72.03
1.17E-01,72.429
1.17E-01,72.817
1.17E-01,73.198
1.18E-01,73.579
1.18E-01,73.96
1.18E-01,74.332
1.19E-01,74.728
1.19E-01,75.106
1.20E-01,75.483
1.20E-01,75.86
1.20E-01,76.24
1.21E-01,76.621
1.21E-01,76.997
1.21E-01,77.371
