#CpuAmgFreeNone19684
Simulated_Time(sec),CPU_Time(sec)
1.00E-03,0.894
2.20E-03,4.119
3.64E-03,4.518
5.37E-03,4.916
7.44E-03,5.315
9.93E-03,5.727
1.26E-02,6.138
1.48E-02,6.568
1.67E-02,6.98
1.85E-02,7.392
2.02E-02,7.806
2.17E-02,8.221
2.32E-02,8.635
2.46E-02,9.05
2.59E-02,9.464
2.72E-02,9.879
2.84E-02,10.294
2.96E-02,10.735
3.08E-02,11.327
3.19E-02,11.8
3.30E-02,12.268
3.41E-02,12.749
3.51E-02,13.218
3.61E-02,13.686
3.70E-02,14.129
3.79E-02,14.571
3.88E-02,15.196
3.97E-02,16.144
4.06E-02,16.804
4.14E-02,17.51
4.23E-02,18.166
4.31E-02,18.796
4.39E-02,19.337
4.47E-02,19.946
4.55E-02,20.474
4.63E-02,20.964
4.71E-02,21.402
4.78E-02,21.89
4.86E-02,22.505
4.93E-02,23.083
5.00E-02,23.672
5.07E-02,24.199
5.14E-02,24.7
5.20E-02,25.189
5.27E-02,25.753
5.34E-02,26.292
5.41E-02,26.932
5.48E-02,27.547
5.55E-02,28.112
5.62E-02,28.613
5.68E-02,29.089
5.75E-02,29.527
5.81E-02,30.002
5.88E-02,30.491
5.94E-02,30.954
6.01E-02,31.593
6.07E-02,32.195
6.13E-02,32.784
6.19E-02,33.325
6.25E-02,33.75
6.31E-02,34.238
6.37E-02,34.726
6.43E-02,35.239
6.49E-02,35.689
6.55E-02,36.139
6.60E-02,36.601
6.66E-02,37.241
6.71E-02,37.83
6.77E-02,38.419
6.82E-02,38.983
6.88E-02,39.559
6.93E-02,40.035
6.99E-02,40.459
7.04E-02,41.44
7.10E-02,41.826
7.15E-02,42.212
7.20E-02,42.585
7.26E-02,42.97
7.31E-02,43.368
7.36E-02,43.791
7.42E-02,44.388
7.47E-02,44.947
7.52E-02,45.445
7.57E-02,45.917
7.63E-02,46.377
7.68E-02,46.837
7.73E-02,47.285
7.78E-02,47.733
7.83E-02,48.168
7.88E-02,48.616
7.93E-02,49.076
7.98E-02,49.524
8.03E-02,49.959
8.08E-02,50.394
8.13E-02,50.832
8.17E-02,51.267
8.22E-02,51.714
8.27E-02,52.16
8.32E-02,52.607
8.37E-02,53.079
8.41E-02,53.501
8.46E-02,53.949
8.51E-02,54.396
8.56E-02,54.843
8.60E-02,55.302
8.65E-02,55.761
8.69E-02,56.221
8.74E-02,56.68
8.79E-02,57.139
8.83E-02,57.598
8.88E-02,58.057
8.93E-02,58.529
8.97E-02,58.988
9.02E-02,59.46
9.06E-02,59.932
9.11E-02,60.403
9.15E-02,60.875
9.20E-02,61.359
9.24E-02,62.102
9.28E-02,62.513
9.33E-02,63.053
9.37E-02,63.426
9.42E-02,63.812
9.46E-02,64.198
9.50E-02,64.583
9.54E-02,64.982
9.59E-02,65.368
9.63E-02,65.766
9.67E-02,66.177
9.72E-02,66.563
9.76E-02,66.987
9.80E-02,67.526
9.84E-02,68.0
9.88E-02,68.732
9.93E-02,69.233
9.97E-02,69.722
1.00E-01,70.197
1.01E-01,70.673
1.01E-01,71.148
1.01E-01,71.624
1.02E-01,72.087
1.02E-01,72.524
1.03E-01,72.974
1.03E-01,73.437
1.03E-01,73.9
1.04E-01,74.375
1.04E-01,74.8
1.05E-01,75.288
1.05E-01,75.764
1.05E-01,76.227
1.06E-01,76.625
1.06E-01,77.037
1.07E-01,77.474
1.07E-01,77.924
1.07E-01,78.387
1.08E-01,78.863
1.08E-01,79.338
1.09E-01,79.814
1.09E-01,80.302
1.09E-01,80.803
1.10E-01,81.317
1.10E-01,82.057
1.11E-01,82.48
1.11E-01,82.916
1.11E-01,83.488
1.12E-01,84.021
1.12E-01,84.406
1.12E-01,84.79
1.13E-01,85.175
1.13E-01,85.559
1.14E-01,85.944
1.14E-01,86.328
1.14E-01,86.713
1.15E-01,87.098
1.15E-01,87.483
1.15E-01,87.881
1.16E-01,88.29
1.16E-01,88.761
1.17E-01,89.307
1.17E-01,89.742
