Simulated_Time,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
0.00100,5.984,4.867,3.901,4.114,7.473,4.496,4.551,5.986
0.00220,20.398,18.394,17.96,17.91,23.056,18.662,18.264,20.24
0.00364,23.245,20.406,20.282,19.953,26.554,21.045,20.423,22.793
0.00537,26.037,22.423,22.721,21.999,29.868,23.432,22.733,25.262
0.00690,28.881,24.506,25.226,24.183,33.735,26.052,24.933,27.91
0.00825,31.689,26.517,27.603,26.216,37.051,28.435,27.197,30.429
0.00948,34.459,28.529,30.169,28.314,40.545,30.817,29.538,33.129
0.01060,37.221,30.54,32.721,30.409,43.675,33.2,31.883,35.584
0.01170,39.994,32.554,35.193,32.453,46.813,35.585,34.211,38.046
0.01260,42.767,34.568,37.657,34.479,49.944,37.967,36.429,40.501
0.01360,45.532,36.581,40.12,36.5,53.076,40.35,38.6,43.013
0.01450,48.308,38.593,42.578,38.519,56.208,42.734,40.787,45.627
0.01540,51.057,40.606,45.039,40.535,59.341,45.117,42.983,48.087
0.01620,53.846,42.619,47.496,42.545,62.479,47.506,45.324,50.561
0.01700,56.965,44.635,49.96,44.561,65.611,49.889,47.67,53.041
0.01780,60.063,46.649,52.443,46.581,68.744,52.274,49.92,55.505
0.01860,62.813,48.663,54.996,48.599,71.88,54.659,52.256,57.969
0.01930,65.576,50.748,57.576,50.617,75.014,57.044,54.593,60.426
0.02000,68.403,52.834,60.163,52.634,78.147,59.43,56.978,62.943
0.02070,71.171,54.92,62.771,54.662,81.286,61.815,59.27,65.551
0.02140,73.945,57.005,65.403,56.701,84.421,64.203,61.463,68.066
0.02210,76.736,59.092,67.994,58.764,87.558,66.59,63.654,70.637
0.02280,79.527,61.179,70.633,60.854,90.694,68.977,65.859,73.245
0.02340,82.295,63.269,73.107,62.949,93.83,71.365,68.192,75.869
0.02400,85.197,65.432,75.587,65.082,97.335,73.753,70.374,78.606
0.02470,88.005,67.45,78.005,67.114,100.473,75.906,72.541,81.103
0.02530,90.71,69.47,80.347,69.136,103.797,78.296,74.765,83.642
0.02590,93.456,71.56,82.786,71.219,106.937,80.686,77.068,86.124
0.02650,96.399,73.722,85.307,73.342,110.447,83.077,79.252,88.687
0.02710,99.248,75.883,87.802,75.421,113.951,85.472,81.433,91.232
0.02760,102.149,77.975,90.044,77.41,117.092,87.864,83.575,93.802
0.02820,104.995,79.926,92.36,79.439,120.232,90.256,85.78,96.381
0.02870,107.759,82.018,94.646,81.448,123.375,92.649,88.119,98.854
0.02930,110.558,84.115,96.966,83.461,126.516,95.041,90.439,101.286
0.02980,113.317,86.21,99.322,85.478,129.658,97.434,92.597,103.809
0.03030,116.282,88.446,101.91,87.628,133.53,99.827,94.798,106.579
0.03080,119.245,90.47,104.359,89.719,137.221,102.221,97.005,109.197
0.03130,122.008,92.565,106.687,91.715,140.365,104.615,99.336,111.664
0.03180,124.7,94.66,109.019,93.732,143.509,107.01,101.672,114.145
0.03230,127.551,96.826,111.449,95.754,146.652,109.406,103.925,116.612
0.03280,130.273,98.923,113.908,97.842,150.528,112.039,106.248,119.275
0.03330,133.324,101.09,116.417,99.95,154.22,114.677,108.584,121.888
0.03380,136.286,103.258,118.808,101.999,157.548,117.074,110.912,124.429
0.03420,139.247,105.426,121.194,104.038,160.876,119.47,113.111,127.083
0.03470,142.269,107.594,123.64,106.081,164.203,121.868,115.287,129.62
0.03520,145.377,109.762,126.1,108.149,167.9,124.265,117.462,132.227
0.03560,148.48,111.859,128.589,110.273,171.593,126.663,119.656,134.848
0.03610,151.309,114.105,131.239,112.442,175.836,129.298,121.858,137.565
0.03650,154.072,116.274,133.896,114.694,180.259,131.934,124.029,140.328
0.03700,157.31,118.444,136.552,116.914,184.137,134.571,126.242,142.983
0.03740,160.77,122.431,139.118,119.086,188.197,137.207,128.627,145.765
0.03780,164.272,124.86,141.623,121.212,192.257,139.844,130.958,148.583
0.03830,168.396,127.292,144.168,123.364,196.318,142.481,133.128,151.319
0.03870,172.275,129.724,146.779,125.5,200.38,145.119,135.334,154.058
0.03910,176.272,132.224,149.295,127.621,204.258,147.756,137.523,156.729
0.03950,180.122,134.656,151.788,129.722,208.319,150.393,139.713,159.406
0.04000,184.149,137.018,154.225,131.814,212.197,153.029,141.904,162.1
0.04040,187.995,139.381,156.65,133.886,215.891,155.428,144.23,164.72
0.04080,192.086,141.881,159.108,135.997,219.951,158.065,146.407,167.453
0.04120,196.181,144.383,161.654,138.158,223.646,160.702,148.597,170.204
0.04160,199.727,146.608,164.185,140.229,227.16,163.1,150.79,172.746
0.04200,203.125,148.764,166.627,142.266,230.489,165.498,152.934,175.258
0.04240,206.78,151.058,169.135,144.393,234.185,167.896,155.16,177.887
0.04280,210.065,153.214,171.587,146.443,237.514,170.294,157.496,180.378
0.04320,214.243,155.782,174.128,148.608,241.572,172.929,159.69,183.12
0.04360,218.342,158.282,176.66,150.758,245.631,175.565,161.845,185.88
0.04400,222.274,160.644,179.214,152.883,249.325,177.962,164.057,188.483
0.04440,224.965,162.869,181.706,154.932,252.653,180.36,166.409,191.026
0.04480,228.271,165.024,184.129,156.966,255.8,182.521,168.77,193.523
0.04520,230.972,167.179,186.474,158.96,258.765,184.681,171.05,195.959
0.04560,233.681,169.266,188.835,160.958,261.728,186.841,173.39,198.412
0.04590,236.469,171.832,191.366,163.077,265.601,189.475,175.729,201.217
0.04630,239.228,174.334,193.889,165.231,269.843,192.109,178.033,203.981
0.04670,241.984,176.694,196.436,167.359,273.535,194.506,180.291,206.564
0.04710,244.673,178.917,198.939,169.413,276.864,196.903,182.484,209.096
0.04740,247.367,181.072,201.417,171.452,280.192,199.3,184.675,211.616
0.04780,250.444,183.157,203.763,173.426,283.155,201.46,186.84,214.039
0.04810,253.65,185.243,206.183,175.425,286.117,203.621,189.04,216.501
0.04850,257.252,187.603,208.641,177.534,289.994,206.255,191.378,219.19
0.04880,261.194,190.101,211.086,179.638,293.87,208.888,193.713,221.918
0.04920,263.954,192.598,213.678,181.801,297.928,211.522,196.025,224.657
0.04960,266.708,194.957,216.204,183.955,301.62,213.919,198.242,227.269
0.04990,269.356,197.042,218.518,185.973,304.765,216.315,200.453,229.753
0.05030,272.259,199.127,220.764,187.955,307.727,218.474,202.633,232.145
0.05060,274.945,201.212,223.029,189.923,310.506,220.633,204.817,234.538
0.05100,277.807,203.299,225.357,191.931,313.468,222.791,207.023,236.963
0.05130,280.494,205.384,227.801,193.993,316.614,225.187,209.341,239.414
0.05170,283.797,207.947,230.328,196.116,320.671,227.82,211.535,242.124
0.05200,286.584,210.443,232.862,198.268,324.545,230.453,213.722,244.841
0.05230,289.34,212.869,235.516,200.46,328.601,233.087,215.91,247.661
0.05270,292.037,215.158,237.925,202.522,332.294,235.483,218.126,250.281
0.05300,295.033,217.379,240.295,204.576,335.629,237.878,220.463,252.846
0.05340,297.936,219.6,242.6,206.573,338.956,240.274,222.781,255.492
0.05370,300.838,221.821,244.954,208.605,342.283,242.67,225.043,258.074
0.05400,303.911,224.179,247.445,210.712,345.976,245.066,227.423,260.902
0.05440,306.883,226.469,249.906,212.749,349.668,247.461,229.742,263.611
0.05470,310.319,229.033,252.443,214.896,353.543,250.094,231.958,266.315
0.05500,313.84,231.459,254.973,217.033,357.417,252.727,234.163,269.007
0.05540,317.191,233.956,257.513,219.169,361.474,255.36,236.35,271.737
0.05570,319.877,236.382,260.01,221.291,365.165,257.755,238.537,274.339
0.05600,322.631,238.877,262.496,223.403,369.221,260.388,240.723,277.083
0.05630,325.868,241.371,265.021,225.549,373.278,263.02,242.895,279.837
0.05670,328.622,243.866,267.52,227.691,377.337,265.655,245.113,282.616
0.05700,331.396,246.429,270.171,229.848,381.029,268.288,247.474,285.292
0.05730,334.542,248.787,272.529,231.889,384.721,270.683,249.749,287.924
0.05760,337.919,251.35,275.011,233.997,388.96,273.316,251.947,290.843
0.05790,341.463,253.913,277.561,236.148,393.199,275.948,254.281,293.681
0.05820,344.299,257.763,280.114,238.285,396.892,278.581,256.588,296.364
0.05850,347.066,259.849,282.657,240.455,401.131,281.213,258.867,299.205
0.05880,351.215,261.866,285.257,242.612,405.188,283.846,261.088,301.97
0.05920,355.156,263.816,287.784,244.743,408.883,286.478,263.342,304.74
0.05950,357.894,265.833,290.177,246.809,412.574,289.111,265.563,307.566
0.05980,360.637,267.92,292.828,248.944,417.36,291.743,267.782,310.576
0.06010,364.812,270.006,295.479,251.18,421.782,294.378,269.994,313.437
0.06040,367.555,272.23,297.806,253.196,425.473,296.773,272.272,316.197
0.06070,370.93,274.317,300.389,255.317,429.164,299.167,274.484,318.821
0.06100,373.637,276.748,302.809,257.367,432.307,301.562,276.791,321.268
0.06130,377.638,281.05,305.335,259.502,436.18,304.194,279.093,323.95
0.06160,381.418,284.092,307.869,261.618,440.054,306.826,281.337,326.76
0.06190,385.483,287.341,310.387,263.76,444.292,309.458,283.57,329.489
0.06220,388.25,290.452,312.868,265.885,448.348,311.852,285.772,332.196
0.06250,390.958,293.36,315.325,267.96,452.038,314.247,287.96,334.866
0.06280,394.43,296.128,317.705,270,455.546,316.642,290.294,337.553
