Simulated_Time,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
0.000567,63.31,55.097,76.476,53.184,205.485,88.391,44.031,61.716
0.001110,221.537,203.028,254.106,209.3,430.595,260.927,202.013,214.689
0.001630,256.692,226.68,285.329,236.725,485.339,289.7,226.027,239.756
0.002130,290.744,249.28,317.912,261.482,533.136,318.508,248.926,264.404
0.002610,324.888,271.899,350.523,286.452,585.564,350.319,272.245,288.828
0.003070,359.974,295.418,383.027,311.426,638.097,378.997,296.251,313.585
0.003520,395.125,318.904,415.632,336.346,685.933,407.684,318.576,338.101
0.003960,430.235,342.448,448.351,361.289,733.768,436.52,340.805,362.919
0.004380,465.422,365.979,480.942,386.17,781.565,465.381,363.222,386.922
0.004790,500.617,389.517,513.562,411.14,829.375,494.305,386.744,411.491
0.005200,535.774,413.06,546.22,436.041,877.217,523.089,408.887,436.146
0.005590,570.983,436.615,578.848,461.026,925.025,551.988,432.963,460.717
0.005980,606.162,460.176,611.531,485.957,972.876,580.804,456.131,485.242
0.006350,641.691,483.748,644.22,510.896,1016.016,609.6,478.579,509.519
0.006720,677.053,507.343,676.811,535.87,1059.198,638.559,501.21,533.477
0.007090,712.397,530.946,709.577,560.835,1102.399,667.401,525.117,557.725
0.007440,747.861,554.566,742.33,585.817,1145.611,696.257,548.532,581.661
0.007790,783.365,578.193,774.923,610.805,1188.851,725.26,570.682,605.927
0.008140,818.693,601.824,807.562,635.798,1232.091,754.071,592.185,629.926
0.008480,854.094,625.471,840.472,660.812,1275.377,783.009,613.678,654.25
0.008810,889.516,649.122,873.387,685.825,1318.649,812.037,635.177,678.247
0.009140,924.716,672.791,906.127,712.933,1371.373,844.094,657.428,703.746
0.009470,960.85,697.452,938.851,740.884,1431.093,876.047,681.122,729.683
0.009790,1002.757,721.136,971.598,766.269,1479.137,904.984,703.397,754.337
0.010100,1050.711,745.817,1004.261,796.568,1541.148,940.142,726.949,780.921
0.010400,1095.715,769.521,1036.994,824.949,1598.577,969.239,749.231,806.909
0.010700,1130.028,792.26,1067.915,851.717,1646.589,1001.316,773.247,831.617
0.011000,1164.966,816.987,1119.975,881.536,1725.03,1036.413,810.122,860.484
0.011300,1203.612,841.708,1172.839,910.979,1787.167,1071.473,846.059,887.164
0.011600,1242.771,866.435,1225.474,940.944,1858.69,1109.444,880.548,915.119
0.011900,1277.686,891.171,1279.257,970.657,1920.821,1144.634,915.925,941.867
0.012200,1312.885,914.93,1311.973,1000.311,1987.525,1179.906,939.423,969.197
0.012400,1356.113,939.69,1344.763,1029.266,2040.252,1208.898,961.948,995.326
0.012700,1390.847,963.461,1377.581,1058.995,2104.768,1244.033,984.618,1022.465
0.013000,1426.055,988.227,1410.416,1087.374,2157.526,1273.164,1007.759,1047.892
0.013300,1460.492,1011.997,1443.248,1117.296,2219.54,1308.248,1030.521,1074.919
