Simulated_Time,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
0.07040,47.199,41.44,35.362,31.85,43.377,31.85,104.907,65.53
0.07100,47.722,41.826,35.799,32.24,43.98,32.24,105.65,66.377
0.07150,48.247,42.212,36.23,32.633,44.55,32.633,106.994,67.227
0.07200,48.753,42.585,36.673,33.027,45.12,33.027,107.728,68.042
0.07260,49.288,42.97,37.123,33.426,45.724,33.426,110.134,68.891
0.07310,50.081,43.368,37.571,33.826,46.327,33.826,111.989,69.734
0.07360,50.712,43.791,38.018,34.224,46.93,34.224,112.737,70.576
0.07420,51.247,44.388,38.485,34.627,47.533,34.627,113.468,71.413
0.07470,51.775,44.947,38.915,35.014,48.07,35.014,114.206,72.207
0.07520,52.308,45.445,39.367,35.421,48.607,35.421,116.072,73
0.07570,53.04,45.917,39.832,35.82,49.177,35.82,116.785,73.821
0.07630,53.566,46.377,40.292,36.213,49.714,36.213,118.622,74.617
0.07680,54.096,46.837,40.738,36.607,50.25,36.607,119.916,75.411
0.07730,54.619,47.285,41.177,36.991,50.753,36.991,121.763,76.18
0.07780,55.144,47.733,41.622,37.376,51.257,37.376,122.519,76.955
0.07830,55.679,48.168,42.066,37.771,51.76,37.771,124.354,77.727
0.07880,56.203,48.616,42.516,38.168,52.296,38.168,125.689,78.522
0.07930,56.73,49.076,42.933,38.551,52.833,38.551,126.407,79.315
0.07980,57.284,49.524,43.346,38.929,53.303,38.929,128.203,80.074
0.08030,57.856,49.959,43.754,39.306,53.774,39.306,130.644,80.864
0.08080,58.38,50.394,44.163,39.682,54.244,39.682,131.947,81.615
0.08130,58.908,50.832,44.583,40.058,54.714,40.058,133.236,82.377
0.08170,59.43,51.267,45.014,40.444,55.25,40.444,135.673,83.206
0.08220,59.997,51.714,45.443,40.828,55.753,40.828,136.431,83.992
0.08270,60.588,52.16,45.866,41.211,56.289,41.211,137.192,84.84
0.08320,61.156,52.607,46.292,41.596,56.792,41.596,137.931,85.657
0.08370,61.773,53.079,46.728,41.987,57.395,41.987,139.223,86.552
0.08410,62.338,53.501,47.141,42.367,57.898,42.367,139.951,87.385
0.08460,62.918,53.949,47.596,42.765,58.467,42.765,141.254,88.262
0.08510,63.442,54.396,48.045,43.157,59.036,43.157,142.589,89.134
0.08560,63.963,54.843,48.492,43.554,59.572,43.554,144.479,89.976
0.08600,64.487,55.302,48.94,43.943,60.109,43.943,146.977,90.811
0.08650,65.009,55.761,49.376,44.329,60.645,44.329,148.295,91.656
0.08690,65.531,56.221,49.808,44.712,61.148,44.712,149.612,92.474
0.08740,66.056,56.68,50.242,45.096,61.651,45.096,151.486,93.284
0.08790,66.579,57.139,50.675,45.479,62.154,45.479,152.214,94.071
0.08830,67.132,57.598,51.131,45.868,62.657,45.868,153.49,94.891
0.08880,67.668,58.057,51.585,46.265,63.193,46.265,155.348,95.734
0.08930,68.205,58.529,52.023,46.66,63.729,46.66,156.055,96.568
0.08970,68.73,58.988,52.438,47.04,64.266,47.04,157.331,97.367
0.09020,69.24,59.46,52.865,47.42,64.802,47.42,158.044,98.175
0.09060,69.752,59.932,53.305,47.798,65.339,47.798,159.864,99.011
0.09110,70.268,60.403,53.743,48.178,65.875,48.178,161.179,99.81
0.09150,70.78,60.875,54.19,48.558,66.412,48.558,161.89,100.611
0.09200,71.306,61.359,54.62,48.942,66.915,48.942,163.185,101.387
0.09240,72.101,62.102,55.066,49.332,67.452,49.332,165.094,102.187
0.09280,72.629,62.513,55.516,49.726,68.022,49.726,165.844,103.034
0.09330,73.169,63.053,55.968,50.125,68.658,50.125,167.111,103.911
0.09370,73.699,63.426,56.408,50.515,69.227,50.515,167.852,104.765
0.09420,74.293,63.812,56.858,50.916,69.863,50.916,169.686,105.635
0.09460,74.861,64.198,57.288,51.304,70.432,51.304,170.443,106.457
0.09500,75.417,64.583,57.736,51.696,71.002,51.696,171.192,107.295
0.09540,75.982,64.982,58.17,52.089,71.571,52.089,173.555,108.165
0.09590,76.505,65.368,58.609,52.475,72.108,52.475,174.286,108.998
0.09630,77.03,65.766,59.052,52.865,72.644,52.865,176.718,109.807
0.09670,77.56,66.177,59.489,53.255,73.247,53.255,178.027,110.67
0.09720,78.087,66.563,59.927,53.64,73.783,53.64,178.757,111.492
0.09760,78.647,66.987,60.364,54.027,74.353,54.027,180.057,112.365
0.09800,79.167,67.526,60.803,54.415,74.922,54.415,182.499,113.224
0.09840,79.698,68,61.24,54.804,75.492,54.804,183.762,114.051
0.09880,80.327,68.732,61.659,55.185,76.028,55.185,186.253,114.85
0.09930,80.96,69.233,62.099,55.57,76.564,55.57,187.015,115.655
0.09970,81.601,69.722,62.532,55.951,77.1,55.951,188.273,116.467
0.10000,82.213,70.197,62.96,56.333,77.637,56.333,189.036,117.301
0.10100,82.738,70.673,63.391,56.716,78.173,56.716,189.794,118.112
0.10100,83.259,71.148,63.822,57.1,78.709,57.1,191.076,118.95
0.10100,83.782,71.624,64.253,57.484,79.212,57.484,191.824,119.73
0.10200,84.369,72.087,64.686,57.867,79.715,57.867,192.529,120.509
0.10200,84.92,72.524,65.121,58.254,80.218,58.254,193.236,121.298
0.10300,85.486,72.974,65.567,58.648,80.755,58.648,195.139,122.143
0.10300,86.009,73.437,66,59.036,81.258,59.036,196.963,122.962
0.10300,86.524,73.9,66.414,59.412,81.794,59.412,197.688,123.769
0.10400,87.09,74.375,66.838,59.789,82.297,59.789,198.42,124.55
0.10400,87.632,74.8,67.256,60.164,82.767,60.164,199.149,125.315
0.10500,88.208,75.288,67.678,60.547,83.304,60.547,199.879,126.164
0.10500,88.771,75.764,68.096,60.927,83.84,60.927,200.578,127.004
0.10500,89.278,76.227,68.511,61.304,84.377,61.304,201.275,127.81
0.10600,89.786,76.625,68.925,61.683,84.88,61.683,202.558,128.569
0.10600,90.296,77.037,69.326,62.055,85.349,62.055,203.282,129.328
0.10700,90.832,77.474,69.739,62.434,85.853,62.434,204.017,130.119
0.10700,91.347,77.924,70.151,62.811,86.356,62.811,204.742,130.941
0.10700,91.871,78.387,70.564,63.185,86.859,63.185,205.491,131.737
0.10800,92.383,78.863,70.979,63.56,87.33,63.56,206.207,132.503
0.10800,92.908,79.338,71.395,63.935,87.8,63.935,208.017,133.272
0.10900,93.431,79.814,71.814,64.311,88.303,64.311,208.77,134.091
0.10900,93.945,80.302,72.23,64.687,88.839,64.687,210.639,134.894
0.10900,94.461,80.803,72.663,65.064,89.409,65.064,211.971,135.706
0.11000,94.995,81.317,73.095,65.446,89.978,65.446,212.699,136.543
0.11000,95.543,82.057,73.538,65.837,90.581,65.837,214.507,137.438
0.11100,96.095,82.48,73.988,66.236,91.217,66.236,215.781,138.345
0.11100,96.659,82.916,74.448,66.641,91.854,66.641,217.606,139.222
0.11100,97.447,83.488,74.911,67.048,92.49,67.048,219.464,140.1
0.11200,97.981,84.021,75.348,67.434,93.026,67.434,221.377,140.914
0.11200,98.521,84.406,75.78,67.819,93.562,67.819,222.667,141.763
0.11200,99.049,84.79,76.2,68.204,94.131,68.204,224.51,142.639
0.11300,99.603,85.175,76.61,68.58,94.667,68.58,225.785,143.457
0.11300,100.123,85.559,77.037,68.966,95.203,68.966,228.187,144.279
0.11400,100.651,85.944,77.466,69.347,95.739,69.347,229.483,145.139
0.11400,101.17,86.328,77.888,69.727,96.275,69.727,231.346,145.992
0.11400,101.689,86.713,78.301,70.107,96.778,70.107,232.604,146.81
