#CpuGmresLusgs1101351
Simulated_Time(sec),CPU_Time(sec)
5.67E-04,88.391
1.11E-03,260.927
1.63E-03,289.7
2.13E-03,318.508
2.61E-03,350.319
3.07E-03,378.997
3.52E-03,407.684
3.96E-03,436.52
4.38E-03,465.381
4.79E-03,494.305
5.20E-03,523.089
5.59E-03,551.988
5.98E-03,580.804
6.35E-03,609.6
6.72E-03,638.559
7.09E-03,667.401
7.44E-03,696.257
7.79E-03,725.26
8.14E-03,754.071
8.48E-03,783.009
8.81E-03,812.037
9.14E-03,844.094
9.47E-03,876.047
9.79E-03,904.984
1.01E-02,940.142
1.04E-02,969.239
1.07E-02,1001.316
1.10E-02,1036.413
1.13E-02,1071.473
1.16E-02,1109.444
1.19E-02,1144.634
1.22E-02,1179.906
1.24E-02,1208.898
1.27E-02,1244.033
1.30E-02,1273.164
1.33E-02,1308.248
1.35E-02,1340.338
1.38E-02,1375.496
1.40E-02,1410.701
1.43E-02,1445.851
1.46E-02,1483.866
1.48E-02,1525.06
1.51E-02,1563.32
1.53E-02,1604.41
1.56E-02,1642.581
1.58E-02,1683.857
1.61E-02,1725.162
1.63E-02,1766.308
1.66E-02,1804.34
1.68E-02,1845.698
1.70E-02,1883.868
1.73E-02,1925.346
1.75E-02,1963.6
1.78E-02,2004.948
1.80E-02,2043.307
1.82E-02,2087.523
1.85E-02,2128.629
1.87E-02,2169.838
1.89E-02,2211.183
1.91E-02,2252.365
1.94E-02,2290.68
1.96E-02,2331.882
1.98E-02,2367.189
2.00E-02,2402.366
2.02E-02,2440.77
2.05E-02,2478.925
2.07E-02,2523.115
2.09E-02,2564.401
2.11E-02,2605.556
2.13E-02,2637.689
2.15E-02,2675.744
2.17E-02,2719.887
2.19E-02,2761.18
2.21E-02,2796.403
2.23E-02,2831.531
2.26E-02,2869.749
2.28E-02,2911.037
2.30E-02,2943.099
2.32E-02,2981.43
2.34E-02,3022.725
2.36E-02,3057.882
2.37E-02,3096.183
2.39E-02,3137.62
2.41E-02,3175.707
2.43E-02,3217.141
2.45E-02,3255.328
2.47E-02,3290.575
2.49E-02,3328.697
2.51E-02,3370.133
2.53E-02,3399.499
2.55E-02,3434.821
2.57E-02,3470.434
2.59E-02,3512.036
2.61E-02,3550.761
2.62E-02,3589.286
2.64E-02,3633.949
2.66E-02,3669.599
2.68E-02,3711.081
2.70E-02,3749.779
2.72E-02,3788.66
2.73E-02,3830.33
2.75E-02,3875.143
2.77E-02,3920.39
2.79E-02,3962.002
2.81E-02,4012.914
2.82E-02,4066.786
2.84E-02,4111.357
2.86E-02,4149.896
2.88E-02,4185.501
2.89E-02,4221.173
2.91E-02,4259.661
2.93E-02,4301.316
2.95E-02,4333.789
2.96E-02,4375.652
2.98E-02,4414.445
3.00E-02,4456.089
3.01E-02,4491.851
3.03E-02,4530.52
3.05E-02,4566.208
3.07E-02,4604.719
3.08E-02,4643.461
3.10E-02,4678.925
3.12E-02,4717.567
3.13E-02,4753.007
3.15E-02,4794.612
3.17E-02,4833.09
3.18E-02,4868.644
3.20E-02,4907.541
3.22E-02,4943.141
3.23E-02,4984.651
3.25E-02,5023.409
3.27E-02,5055.909
3.28E-02,5091.57
3.30E-02,5127.135
3.31E-02,5159.642
3.33E-02,5201.51
3.35E-02,5231.105
3.36E-02,5266.721
3.38E-02,5302.224
3.39E-02,5340.765
3.41E-02,5379.252
3.43E-02,5417.756
3.44E-02,5447.229
3.46E-02,5482.821
3.47E-02,5518.445
3.49E-02,5556.971
3.50E-02,5592.673
3.52E-02,5631.16
3.53E-02,5660.59
3.55E-02,5693.122
3.56E-02,5728.598
3.58E-02,5764.144
3.60E-02,5805.67
3.61E-02,5841.112
3.63E-02,5876.707
3.64E-02,5909.159
3.66E-02,5944.643
3.67E-02,5980.149
3.69E-02,6015.674
3.70E-02,6057.159
3.72E-02,6089.603
3.73E-02,6122.116
3.75E-02,6151.468
3.76E-02,6184.104
3.78E-02,6219.595
3.79E-02,6255.077
3.81E-02,6296.63
3.82E-02,6332.065
3.84E-02,6370.614
3.85E-02,6406.281
3.87E-02,6435.617
3.88E-02,6465.087
3.89E-02,6500.564
3.91E-02,6539.177
3.92E-02,6574.743
3.94E-02,6610.213
3.95E-02,6648.762
3.97E-02,6681.181
3.98E-02,6716.702
4.00E-02,6755.168
4.01E-02,6787.817
4.03E-02,6826.533
4.04E-02,6865.203
4.05E-02,6903.688
4.07E-02,6936.116
4.08E-02,6977.591
4.10E-02,7019.306
4.11E-02,7057.789
4.12E-02,7096.241
4.14E-02,7137.812
4.15E-02,7182.504
4.17E-02,7227.233
4.18E-02,7284.135
4.19E-02,7325.616
4.21E-02,7361.226
4.22E-02,7393.684
4.24E-02,7435.15
4.25E-02,7470.61
4.26E-02,7509.035
4.28E-02,7544.688
4.29E-02,7580.088
4.30E-02,7615.92
4.32E-02,7651.332
4.33E-02,7687.292
4.35E-02,7728.858
4.36E-02,7767.609
4.37E-02,7803.058
4.39E-02,7838.438
4.40E-02,7873.989
4.41E-02,7906.416
4.43E-02,7939.003
4.44E-02,7971.449
4.45E-02,8000.891
4.47E-02,8042.403
4.48E-02,8080.851
4.50E-02,8116.501
4.51E-02,8145.926
4.52E-02,8181.489
4.54E-02,8210.865
4.55E-02,8240.268
4.56E-02,8269.899
4.58E-02,8308.569
4.59E-02,8347.313
4.60E-02,8385.857
4.61E-02,8424.55
4.63E-02,8454.076
4.64E-02,8483.501
4.65E-02,8512.988
4.67E-02,8548.394
4.68E-02,8581.07
4.69E-02,8619.657
4.71E-02,8658.161
4.72E-02,8696.845
4.73E-02,8735.233
4.75E-02,8764.858
4.76E-02,8794.425
4.77E-02,8823.926
4.78E-02,8853.316
4.80E-02,8882.906
4.81E-02,8918.505
4.82E-02,8959.949
4.84E-02,8998.565
4.85E-02,9037.14
4.86E-02,9069.724
4.87E-02,9099.15
4.89E-02,9128.653
4.90E-02,9164.28
4.91E-02,9199.981
4.92E-02,9238.543
4.94E-02,9277.161
4.95E-02,9315.623
4.96E-02,9360.127
4.98E-02,9401.552
4.99E-02,9452.134
5.00E-02,9496.949
5.01E-02,9544.637
5.03E-02,9586.112
5.04E-02,9624.53
5.05E-02,9662.976
5.06E-02,9707.433
5.08E-02,9755.023
5.09E-02,9796.552
5.10E-02,9838.072
5.11E-02,9876.405
5.13E-02,9911.797
5.14E-02,9947.231
5.15E-02,9982.643
5.16E-02,10015.293
5.18E-02,10053.692
5.19E-02,10086.107
5.20E-02,10127.687
5.21E-02,10166.18
5.22E-02,10204.659
5.24E-02,10237.006
5.25E-02,10272.409
5.26E-02,10314.068
5.27E-02,10343.559
5.29E-02,10372.989
5.30E-02,10402.342
5.31E-02,10434.64
5.32E-02,10473.117
5.33E-02,10517.596
5.35E-02,10552.926
5.36E-02,10588.367
5.37E-02,10617.722
