Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
80,3375.24,2135.74,3647.58,2457.6,6275.07,3022.73,2505.53,2432.78
81,3407.69,2162.50,3700.98,2487.7,6353.50,3057.88,2540.80,2461.41
82,3442.93,2189.28,3754.19,2518.2,6441.47,3096.18,2576.16,2491.69
83,3477.84,2215.07,3810.11,2548.5,6543.38,3137.62,2610.98,2524.04
84,3528.49,2243.86,3863.44,2578.8,6636.02,3175.71,2645.43,2555.00
85,3562.80,2269.69,3916.99,2609.6,6730.92,3217.14,2679.35,2586.62
86,3598.68,2296.52,3973.30,2640.3,6828.25,3255.33,2713.42,2618.34
87,3633.79,2321.40,4026.61,2670.1,6906.88,3290.58,2748.09,2648.18
88,3668.38,2348.29,4079.96,2701.2,6994.91,3328.70,2784.67,2678.64
89,3702.92,2374.21,4134.55,2731.4,7087.74,3370.13,2820.91,2713.21
90,3737.29,2402.14,4167.65,2759.0,7142.99,3399.50,2843.41,2739.27
91,3772.46,2431.09,4221.25,2789.6,7231.10,3434.82,2880.47,2769.49
92,3821.59,2459.08,4254.24,2819.4,7307.52,3470.43,2902.98,2798.20
93,3873.34,2484.13,4308.68,2849.2,7395.68,3512.04,2938.08,2828.80
94,3908.74,2511.17,4362.51,2879.8,7484.02,3550.76,2974.38,2859.37
95,3943.58,2538.25,4414.66,2910.2,7572.07,3589.29,3009.15,2889.96
96,3979.82,2564.37,4471.32,2940.7,7669.59,3633.95,3045.24,2921.98
97,4014.57,2591.49,4525.57,2970.9,7757.82,3669.60,3079.46,2952.13
98,4050.16,2663.32,4579.61,3001.5,7846.05,3711.08,3115.47,2982.80
99,4085.78,2710.89,4612.86,3032.0,7922.57,3749.78,3139.75,3011.89
100,4138.57,2735.92,4667.97,3062.0,8003.86,3788.66,3175.41,3044.21
101,4194.71,2761.93,4723.16,3093.2,8106.18,3830.33,3224.70,3075.68
102,4232.45,2787.94,4779.35,3124.8,8222.62,3875.14,3272.65,3110.41
103,4318.39,2814.93,4836.35,3155.2,8308.58,3920.39,3308.98,3140.23
104,4356.58,2841.95,4905.71,3187.1,8403.94,3962.00,3357.68,3173.82
105,4395.37,2870.90,4979.67,3219.7,8496.94,4012.91,3405.84,3209.35
106,4434.08,2899.84,5051.89,3252.2,8592.33,4066.79,3455.15,3240.23
107,4473.00,2927.81,5108.08,3284.9,8697.07,4111.36,3490.87,3273.33
108,4512.36,2968.34,5162.22,3315.0,8780.75,4149.90,3525.42,3303.67
109,4547.83,3006.95,5195.53,3345.2,8857.49,4185.50,3547.53,3333.19
110,4582.47,3032.04,5248.99,3375.4,8943.44,4221.17,3581.91,3363.30
111,4617.36,3057.14,5282.29,3405.5,9029.39,4259.66,3604.00,3394.28
112,4655.25,3082.23,5315.53,3436.1,9124.79,4301.32,3638.43,3426.16
113,4692.61,3106.35,5368.07,3465.6,9182.63,4333.79,3660.46,3452.72
114,4731.65,3131.43,5421.52,3496.5,9275.53,4375.65,3695.01,3484.14
115,4765.31,3155.56,5454.73,3525.4,9342.78,4414.45,3717.17,3512.69
116,4799.74,3180.64,5509.78,3555.8,9426.51,4456.09,3751.56,3542.37
117,4832.76,3205.73,5543.10,3584.5,9500.74,4491.85,3773.66,3569.60
118,4867.63,3230.79,5597.14,3614.5,9586.66,4530.52,3808.88,3599.05
119,4902.69,3255.86,5630.38,3644.0,9658.48,4566.21,3831.03,3627.25
120,4937.32,3280.92,5663.66,3674.0,9737.45,4604.72,3853.06,3656.70
121,4973.47,3305.99,5696.96,3703.4,9821.02,4643.46,3875.14,3686.18
122,5012.42,3331.04,5749.66,3733.2,9904.61,4678.93,3897.17,3716.36
123,5052.70,3356.10,5803.48,3763.1,9988.24,4717.57,3931.52,3745.92
124,5091.50,3381.16,5836.67,3793.0,10067.09,4753.01,3953.57,3775.39
125,5127.09,3406.22,5891.64,3823.2,10141.36,4794.61,3987.96,3804.88
126,5162.07,3431.27,5924.85,3853.4,10220.30,4833.09,4010.12,3834.35
127,5195.27,3457.27,5979.10,3884.3,10317.92,4868.64,4045.55,3866.72
128,5247.79,3483.28,6033.01,3914.5,10413.37,4907.54,4079.91,3898.20
129,5282.39,3508.33,6066.29,3944.4,10497.00,4943.14,4101.96,3928.52
130,5341.64,3533.38,6121.43,3975.4,10571.26,4984.65,4136.58,3957.31
131,5387.73,3560.35,6154.62,4004.1,10643.26,5023.41,4158.61,3986.10
132,5450.28,3585.38,6187.86,4033.3,10698.80,5055.91,4180.68,4012.08
133,5488.27,3610.44,6221.04,4062.7,10777.74,5091.57,4202.68,4041.60
134,5526.95,3636.46,6275.08,4093.2,10870.95,5127.14,4237.78,4073.11
135,5562.36,3662.48,6308.37,4121.8,10931.19,5159.64,4261.92,4101.08
136,5595.83,3688.49,6341.60,4151.9,11014.78,5201.51,4284.38,4131.18
137,5628.25,3713.54,6374.77,4178.7,11056.26,5231.11,4307.18,4155.47
138,5662.91,3738.59,6407.97,4207.5,11125.82,5266.72,4331.04,4183.32
139,5697.30,3764.59,6460.36,4237.5,11181.37,5302.22,4366.81,4209.53
140,5733.07,3791.56,6513.74,4268.3,11262.56,5340.77,4403.08,4239.94
141,5783.18,3818.55,6569.02,4299.5,11346.24,5379.25,4439.53,4270.52
142,5818.00,3843.59,6602.21,4328.4,11427.57,5417.76,4462.96,4300.37
143,5852.11,3867.69,6650.58,4356.2,11480.79,5447.23,4486.37,4325.74
144,5886.41,3892.74,6683.77,4384.9,11559.70,5482.82,4522.31,4355.17
145,5921.01,3918.75,6736.41,4414.1,11638.80,5518.45,4557.80,4384.62
146,5955.94,3944.75,6790.63,4444.6,11715.36,5556.97,4593.80,4413.74
147,6001.35,3971.71,6823.83,4474.5,11789.60,5592.67,4618.22,4442.33
148,6045.41,3998.66,6876.50,4504.7,11873.24,5631.16,4654.68,4471.78
149,6087.57,4025.62,6909.70,4531.3,11926.37,5660.59,4678.19,4497.97
150,6128.46,4050.67,6942.93,4559.4,11979.54,5693.12,4700.94,4523.97
151,6174.06,4074.76,6976.21,4588.0,12053.76,5728.60,4725.02,4552.57
152,6209.13,4100.76,7028.56,4616.8,12125.62,5764.14,4759.43,4580.71
153,6244.74,4127.71,7083.49,4647.5,12211.54,5805.67,4794.15,4611.07
154,6280.82,4154.66,7116.67,4677.5,12288.03,5841.11,4817.12,4640.27
155,6326.64,4183.54,7149.87,4706.2,12352.89,5876.71,4841.19,4667.44
156,6368.61,4210.49,7183.08,4733.4,12401.34,5909.16,4863.99,4693.42
157,6403.14,4235.53,7216.33,4761.7,12468.56,5944.64,4888.16,4720.95
158,6436.29,4261.54,7268.55,4790.1,12540.38,5980.15,4923.80,4749.68
159,6470.36,4287.53,7301.70,4818.7,12609.99,6015.67,4947.71,4778.01
160,6524.93,4314.48,7357.71,4849.6,12700.65,6057.16,4984.54,4809.02
161,6570.83,4342.39,7390.95,4878.8,12763.23,6089.60,5008.05,4836.54
162,6605.62,4369.34,7424.17,4905.5,12816.37,6122.12,5031.01,4862.50
163,6640.24,4396.29,7457.38,4931.9,12864.83,6151.47,5053.66,4888.43
164,6673.37,4424.21,7490.57,4961.1,12922.64,6184.10,5076.22,4915.05
165,6707.85,4452.12,7542.46,4990.3,12985.21,6219.60,5112.11,4942.24
166,6741.60,4479.06,7575.70,5018.1,13050.08,6255.08,5136.62,4969.76
167,6777.30,4506.96,7630.65,5049.0,13140.73,6296.63,5173.97,5000.14
168,6825.59,4535.82,7683.85,5079.5,13208.02,6332.07,5209.38,5027.94
169,6873.08,4561.81,7717.14,5108.8,13275.23,6370.61,5231.90,5055.75
170,6906.71,4586.84,7750.37,5136.6,13349.46,6406.28,5254.33,5084.16
171,6941.14,4612.82,7783.53,5162.3,13402.64,6435.62,5276.84,5110.10
172,6975.64,4639.76,7816.69,5190.4,13455.71,6465.09,5299.20,5136.72
173,7018.36,4666.70,7849.88,5218.7,13522.87,6500.56,5321.31,5163.86
174,7068.67,4695.56,7904.55,5249.0,13611.22,6539.18,5355.70,5194.74
175,7117.36,4723.47,7957.93,5279.2,13690.11,6574.74,5389.96,5224.70
176,7164.59,4752.33,8010.59,5309.8,13757.31,6610.21,5424.88,5252.52
177,7209.89,4779.27,8043.94,5338.1,13831.63,6648.76,5449.02,5281.29
178,7242.54,4806.21,8077.08,5365.2,13891.74,6681.18,5470.99,5307.15
179,7276.76,4852.15,8110.25,5393.3,13961.40,6716.70,5492.97,5335.28
180,7327.29,4876.30,8161.34,5422.2,14049.67,6755.17,5527.82,5366.00
181,7361.96,4900.46,8194.75,5449.6,14109.89,6787.82,5552.55,5392.92
182,7406.49,4925.59,8227.92,5479.5,14177.10,6826.53,5576.73,5420.42
183,7458.89,4950.72,8282.12,5510.6,14281.81,6865.20,5611.79,5453.45
184,7511.07,4975.86,8315.36,5540.7,14372.42,6903.69,5635.77,5485.10
185,7545.61,5012.57,8348.59,5568.2,14425.56,6936.12,5657.87,5510.96
186,7582.53,5050.26,8403.13,5598.9,14511.51,6977.59,5692.32,5541.98
187,7620.09,5087.94,8458.35,5629.5,14609.24,7019.31,5727.83,5575.29
188,7674.37,5138.18,8491.72,5658.6,14690.52,7057.79,5750.02,5605.04
189,7710.29,5178.82,8546.44,5688.7,14778.83,7096.24,5785.00,5635.76
190,7793.68,5220.43,8601.67,5719.8,14897.64,7137.81,5820.63,5779.03
191,7832.40,5264.99,8658.49,5752.2,15021.07,7182.50,5855.23,5812.62
192,7870.64,5312.50,8715.34,5784.7,15125.61,7227.23,5889.69,5850.25
193,7965.23,5370.60,8788.72,5817.4,15225.71,7284.14,5924.48,5883.18
194,8005.38,5445.19,8840.74,5847.4,15314.07,7325.62,5959.54,5913.88
195,8043.51,5537.31,8892.04,5876.5,15407.17,7361.23,5982.19,5945.35
196,8102.97,5620.96,8925.31,5903.5,15460.26,7393.68,6006.49,5971.20
197,8142.07,5650.06,8980.21,5933.9,15557.91,7435.15,6042.99,6003.43
198,8201.46,5677.20,9013.41,5962.2,15620.40,7470.61,6066.11,6030.55
199,8239.92,5705.31,9067.39,5992.7,15720.46,7509.04,6102.50,6062.88
200,8277.74,5732.44,9100.70,6022.5,15801.72,7544.69,6125.41,6092.76
201,8312.43,5759.56,9150.60,6050.8,15878.27,7580.09,6148.15,6121.98
202,8349.49,5797.26,9202.09,6079.0,15954.75,7615.92,6183.33,6150.97
203,8384.70,5823.39,9253.87,6107.3,16026.70,7651.33,6219.12,6179.74
204,8421.36,5849.52,9287.14,6135.5,16100.90,7687.29,6241.24,6208.14
205,8478.46,5878.62,9341.97,6165.8,16200.96,7728.86,6275.76,6240.45
206,8513.33,5906.73,9375.19,6196.4,16279.84,7767.61,6297.93,6269.54
207,8549.41,5934.84,9428.34,6225.8,16361.10,7803.06,6332.37,6299.33
208,8584.31,5960.96,9461.47,6255.1,16442.30,7838.44,6354.35,6328.79
209,8619.06,5987.08,9494.61,6284.1,16504.76,7873.99,6376.35,6356.21
210,8660.26,6012.23,9527.78,6312.1,16562.51,7906.42,6398.43,6383.03
211,8696.77,6037.36,9560.90,6339.7,16615.66,7939.00,6432.33,6408.88
212,8738.75,6062.50,9594.09,6367.3,16671.15,7971.45,6454.34,6434.71
213,8779.15,6086.66,9627.07,6392.9,16719.61,8000.89,6476.41,6459.98
214,8833.74,6116.73,9683.27,6423.5,16826.70,8042.40,6510.87,6492.65
215,8867.74,6145.81,9737.37,6454.2,16929.11,8080.85,6545.73,6524.72
216,8902.76,6172.92,9770.60,6483.3,17012.64,8116.50,6568.36,6554.74
217,8937.63,6198.05,9803.76,6509.9,17065.81,8145.93,6593.14,6580.23
218,8982.93,6225.16,9837.02,6539.6,17128.30,8181.49,6617.05,6607.68
219,9017.38,6251.28,9870.33,6566.3,17181.39,8210.87,6639.19,6633.52
220,9052.90,6280.35,9903.45,6593.4,17229.81,8240.27,6661.33,6658.37
221,9086.13,6307.45,9932.95,6618.6,17273.53,8269.90,6683.22,6682.94
