Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
1,5.98,4.87,3.90,4.11,7.47,4.50,4.55,5.99
2,20.40,18.39,17.96,17.91,23.06,18.66,18.26,20.24
3,23.25,20.41,20.28,19.95,26.55,21.05,20.42,22.79
4,26.04,22.42,22.72,22.00,29.87,23.43,22.73,25.26
5,28.88,24.51,25.23,24.18,33.74,26.05,24.93,27.91
6,31.69,26.52,27.60,26.22,37.05,28.44,27.20,30.43
7,34.46,28.53,30.17,28.31,40.55,30.82,29.54,33.13
8,37.22,30.54,32.72,30.41,43.68,33.20,31.88,35.58
9,39.99,32.55,35.19,32.45,46.81,35.59,34.21,38.05
10,42.77,34.57,37.66,34.48,49.94,37.97,36.43,40.50
11,45.53,36.58,40.12,36.50,53.08,40.35,38.60,43.01
12,48.31,38.59,42.58,38.52,56.21,42.73,40.79,45.63
13,51.06,40.61,45.04,40.54,59.34,45.12,42.98,48.09
14,53.85,42.62,47.50,42.55,62.48,47.51,45.32,50.56
15,56.97,44.64,49.96,44.56,65.61,49.89,47.67,53.04
16,60.06,46.65,52.44,46.58,68.74,52.27,49.92,55.51
17,62.81,48.66,55.00,48.60,71.88,54.66,52.26,57.97
18,65.58,50.75,57.58,50.62,75.01,57.04,54.59,60.43
19,68.40,52.83,60.16,52.63,78.15,59.43,56.98,62.94
20,71.17,54.92,62.77,54.66,81.29,61.82,59.27,65.55
21,73.95,57.01,65.40,56.70,84.42,64.20,61.46,68.07
22,76.74,59.09,67.99,58.76,87.56,66.59,63.65,70.64
23,79.53,61.18,70.63,60.85,90.69,68.98,65.86,73.25
24,82.30,63.27,73.11,62.95,93.83,71.37,68.19,75.87
25,85.20,65.43,75.59,65.08,97.34,73.75,70.37,78.61
26,88.01,67.45,78.01,67.11,100.47,75.91,72.54,81.10
27,90.71,69.47,80.35,69.14,103.80,78.30,74.77,83.64
28,93.46,71.56,82.79,71.22,106.94,80.69,77.07,86.12
29,96.40,73.72,85.31,73.34,110.45,83.08,79.25,88.69
30,99.25,75.88,87.80,75.42,113.95,85.47,81.43,91.23
31,102.15,77.98,90.04,77.41,117.09,87.86,83.58,93.80
32,105.00,79.93,92.36,79.44,120.23,90.26,85.78,96.38
33,107.76,82.02,94.65,81.45,123.38,92.65,88.12,98.85
34,110.56,84.12,96.97,83.46,126.52,95.04,90.44,101.29
35,113.32,86.21,99.32,85.48,129.66,97.43,92.60,103.81
36,116.28,88.45,101.91,87.63,133.53,99.83,94.80,106.58
37,119.25,90.47,104.36,89.72,137.22,102.22,97.01,109.20
