Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
1,37.35,35.65,24.40,23.89,78.36,33.52,16.18,25.36
2,115.13,108.79,106.26,96.36,179.17,111.25,90.61,98.32
3,131.07,119.80,120.35,107.95,198.95,124.12,100.56,109.58
4,147.10,130.78,135.10,119.66,220.78,138.13,110.43,121.36
5,163.02,141.82,149.86,131.80,244.51,152.29,120.41,133.10
6,178.56,152.42,164.71,143.25,266.39,166.32,130.31,144.56
7,194.10,162.99,179.51,154.84,286.34,179.13,140.19,155.99
8,209.59,173.62,194.30,166.38,306.15,193.20,150.12,167.40
9,225.29,184.20,209.09,177.77,326.02,206.00,160.00,178.69
10,240.91,194.86,224.02,189.18,345.87,218.82,169.94,189.99
11,256.81,205.46,238.84,200.53,365.72,231.65,179.84,201.29
12,272.44,216.11,253.68,211.94,385.57,244.47,189.75,212.59
13,288.16,226.84,268.50,223.33,405.39,257.26,199.68,223.95
14,304.05,237.46,283.31,234.67,425.21,270.08,209.62,235.32
15,319.77,248.31,298.12,246.00,445.20,282.88,219.65,246.65
16,335.56,258.95,312.96,257.36,465.04,295.83,229.76,258.00
17,351.49,269.72,328.06,268.77,484.92,308.68,239.73,269.53
18,367.06,280.88,343.08,280.14,504.78,321.58,249.77,280.89
19,384.00,292.50,357.93,292.15,526.73,334.40,259.73,292.88
20,403.18,305.40,372.79,304.47,548.72,348.61,269.71,304.57
21,419.67,317.03,387.66,316.57,570.62,361.45,279.71,316.12
22,436.32,328.17,402.52,328.34,590.60,374.58,289.70,327.70
23,456.62,342.03,417.52,341.54,617.49,390.05,299.70,340.24
24,475.39,355.46,432.41,353.77,639.52,404.30,309.71,351.96
25,493.56,367.63,446.99,365.83,658.50,417.17,319.81,363.25
26,512.44,381.03,461.89,378.59,688.43,432.93,330.05,376.30
27,531.05,394.46,476.82,391.34,716.31,448.53,340.07,389.03
28,550.53,406.98,491.97,403.96,744.21,462.71,350.18,401.80
29,568.32,418.18,506.99,416.15,769.29,476.98,360.20,414.04
30,586.17,431.15,530.35,428.98,797.21,492.48,375.97,426.82
31,604.72,444.66,545.32,442.03,828.13,508.09,386.03,440.07
32,622.54,457.63,568.65,455.07,858.06,523.65,401.75,452.85
33,639.86,469.79,583.58,467.82,884.01,539.16,411.80,465.38
34,657.21,482.32,598.52,480.39,910.10,553.54,421.97,478.16
35,675.50,495.33,622.05,493.62,940.16,569.16,437.92,493.31
